metric,Both,CT,T
1on1 win percentage,60.7%,53.5%,68.3%
Assisted kills percentage,19.9%,21.4%,18.1%
Assists per round,0.12,0.13,0.11
Attacks per round,2.73,2.63,2.60
Clutch points per round,0.03,0.02,0.03
Damage per kill,98,95,100
Damage per round,84.4,85.7,83.0
Damage per round win,96.7,94.9,98.8
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.94,0.79,1.15
Kills per round,0.83,0.86,0.79
Kills per round win,1.05,1.06,1.04
Last alive percentage,11.1%,9.5%,12.9%
Opening attempts,15.6%,17.9%,13.2%
Opening deaths per round,0.06,0.06,0.06
Opening deaths traded percentage,21.6%,17.9%,25.6%
Opening kills per round,0.10,0.12,0.07
Opening success,61.1%,65.4%,54.9%
Pistol round rating,1.33,1.59,1.07
Rating 1.0,1.24,1.31,1.17
Rounds with a kill,53.6%,55.2%,52.0%
Rounds with a multi-kill,21.6%,22.9%,20.2%
Rounds with sniper kills percentage,9.8%,13.5%,6.0%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.10,0.07,0.12
Saves per round loss,6.1%,9.4%,3.0%
Sniper kills per round,0.14,0.18,0.09
Sniper kills percentage,16.6%,21.9%,11.3%
Sniper multi-kill rounds,0.04,0.05,0.02
Sniper opening kills per round,0.03,0.04,0.009
Support rounds,16.6%,18.0%,13.3%
Time alive per round,0m 59s,0m 47s,1m 11s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.15,0.12,0.17
Trade kills percentage,17.6%,14.5%,21.1%
Traded deaths per round,0.11,0.10,0.11
Traded deaths percentage,18.2%,18.3%,18.0%
Utility damage per round,2.16,2.65,1.65
Utility kills per 100 rounds,0.51,0.47,0.52
Win% after opening kill,78.7%,76.6%,82.3%
