metric,Both,CT,T
1on1 win percentage,54.0%,59.3%,47.8%
Assisted kills percentage,19.2%,20.4%,18.0%
Assists per round,0.13,0.14,0.11
Attacks per round,2.52,2.67,2.21
Clutch points per round,0.02,0.02,0.02
Damage per kill,102,102,102
Damage per round,78.9,81.4,76.4
Damage per round win,98.1,100.4,95.9
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.61,0.54,0.69
Kills per round,0.75,0.77,0.73
Kills per round win,1.02,1.06,0.98
Last alive percentage,8.3%,7.7%,8.9%
Opening attempts,21.3%,19.9%,22.7%
Opening deaths per round,0.10,0.09,0.12
Opening deaths traded percentage,28.3%,20.5%,34.0%
Opening kills per round,0.11,0.11,0.11
Opening success,52.4%,57.1%,48.2%
Pistol round rating,1.26,1.32,1.19
Rating 1.0,1.08,1.13,1.05
Rounds with a kill,49.5%,51.1%,47.8%
Rounds with a multi-kill,18.9%,19.4%,18.4%
Rounds with sniper kills percentage,4.9%,6.4%,3.5%
Saved by teammate per round,0.12,0.09,0.14
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,3.7%,6.8%,0.5%
Sniper kills per round,0.06,0.08,0.04
Sniper kills percentage,8.2%,10.8%,5.7%
Sniper multi-kill rounds,0.01,0.02,0.01
Sniper opening kills per round,0.01,0.02,0.008
Support rounds,14.9%,16.7%,12.3%
Time alive per round,1m 2s,1m 2s,1m 2s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,18.6%,16.1%,21.4%
Traded deaths per round,0.16,0.14,0.19
Traded deaths percentage,23.7%,20.9%,26.5%
Utility damage per round,3.51,3.80,3.21
Utility kills per 100 rounds,0.65,0.53,0.74
Win% after opening kill,73.9%,74.3%,73.6%
