metric,Both,CT,T
1on1 win percentage,63.9%,62.5%,65.1%
Assisted kills percentage,19.3%,20.2%,18.6%
Assists per round,0.11,0.12,0.10
Attacks per round,2.25,2.38,1.99
Clutch points per round,0.03,0.03,0.03
Damage per kill,100,101,99
Damage per round,77.6,79.2,76.2
Damage per round win,95.8,100.4,92.0
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.65,0.45,0.78
Kills per round,0.75,0.75,0.75
Kills per round win,1.02,1.08,0.97
Last alive percentage,11.7%,10.1%,13.1%
Opening attempts,19.9%,22.4%,17.7%
Opening deaths per round,0.09,0.10,0.08
Opening deaths traded percentage,21.8%,18.9%,24.9%
Opening kills per round,0.11,0.12,0.09
Opening success,54.2%,55.1%,53.3%
Pistol round rating,1.02,1.19,0.86
Rating 1.0,1.09,1.10,1.06
Rounds with a kill,50.8%,50.1%,51.3%
Rounds with a multi-kill,18.5%,18.9%,18.1%
Rounds with sniper kills percentage,15.0%,11.3%,18.3%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.10,0.06,0.13
Saves per round loss,3.2%,5.1%,1.4%
Sniper kills per round,0.19,0.14,0.22
Sniper kills percentage,25.1%,19.0%,30.1%
Sniper multi-kill rounds,0.05,0.04,0.05
Sniper opening kills per round,0.04,0.04,0.04
Support rounds,14.5%,15.1%,13.1%
Time alive per round,1m 6s,1m 3s,1m 10s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.14,0.12,0.17
Trade kills percentage,19.3%,15.9%,22.3%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,18.7%,16.6%,20.6%
Utility damage per round,2.13,2.16,2.10
Utility kills per 100 rounds,0.45,0.44,0.39
Win% after opening kill,77.4%,76.7%,78.2%
