metric,Both,CT,T
1on1 win percentage,63.8%,67.6%,57.1%
Assisted kills percentage,17.5%,17.9%,17.1%
Assists per round,0.18,0.20,0.15
Attacks per round,3.25,3.41,2.81
Clutch points per round,0.01,0.01,0.01
Damage per kill,108,108,107
Damage per round,85.5,89.9,80.9
Damage per round win,102.5,103.5,101.2
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.56,0.54,0.60
Kills per round,0.76,0.79,0.73
Kills per round win,1.02,1.03,1.01
Last alive percentage,7.0%,6.7%,7.4%
Opening attempts,23.7%,24.5%,22.9%
Opening deaths per round,0.11,0.10,0.12
Opening deaths traded percentage,20.8%,14.1%,26.4%
Opening kills per round,0.13,0.15,0.11
Opening success,54.8%,61.1%,47.7%
Pistol round rating,1.09,1.11,1.08
Rating 1.0,1.10,1.17,1.03
Rounds with a kill,50.6%,52.3%,48.7%
Rounds with a multi-kill,19.1%,19.9%,18.2%
Rounds with sniper kills percentage,0.7%,0.7%,0.8%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.08,0.06,0.10
Saves per round loss,4.7%,7.9%,1.9%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.0%,0.9%,1.1%
Sniper multi-kill rounds,0.002,0.002,0.0006
Sniper opening kills per round,0.0003,0.0,0.0006
Support rounds,16.7%,19.1%,12.3%
Time alive per round,0m 53s,0m 42s,1m 5s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,15.3%,12.0%,19.2%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,20.6%,19.4%,21.8%
Utility damage per round,4.42,5.48,3.31
Utility kills per 100 rounds,0.76,0.93,0.53
Win% after opening kill,80.7%,78.1%,84.5%
