metric,Both,CT,T
1on1 win percentage,66.7%,63.0%,70.4%
Assisted kills percentage,18.4%,18.9%,17.8%
Assists per round,0.14,0.15,0.12
Attacks per round,2.73,2.89,2.39
Clutch points per round,0.02,0.02,0.03
Damage per kill,106,106,106
Damage per round,80.1,82.6,77.8
Damage per round win,99.0,97.7,100.4
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.55,0.47,0.60
Kills per round,0.73,0.75,0.71
Kills per round win,1.00,1.00,1.01
Last alive percentage,8.5%,8.5%,8.4%
Opening attempts,17.4%,16.6%,18.1%
Opening deaths per round,0.09,0.07,0.10
Opening deaths traded percentage,23.2%,20.0%,25.4%
Opening kills per round,0.09,0.09,0.08
Opening success,50.7%,56.7%,45.4%
Pistol round rating,1.11,1.21,1.00
Rating 1.0,1.05,1.12,0.99
Rounds with a kill,48.3%,49.4%,47.2%
Rounds with a multi-kill,18.6%,19.2%,18.1%
Rounds with sniper kills percentage,0.9%,1.0%,0.8%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.11,0.08,0.13
Saves per round loss,4.1%,6.6%,2.0%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.4%,1.4%,1.4%
Sniper multi-kill rounds,0.002,0.002,0.002
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,15.5%,18.5%,11.7%
Time alive per round,1m 2s,1m 0s,1m 4s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.15,0.13,0.17
Trade kills percentage,21.0%,17.6%,24.4%
Traded deaths per round,0.13,0.11,0.14
Traded deaths percentage,18.6%,18.1%,19.1%
Utility damage per round,3.33,4.29,2.41
Utility kills per 100 rounds,0.59,0.88,0.31
Win% after opening kill,74.8%,76.4%,73.1%
