metric,Both,CT,T
1on1 win percentage,61.5%,56.8%,67.6%
Assisted kills percentage,20.1%,21.9%,17.9%
Assists per round,0.18,0.21,0.15
Attacks per round,3.55,3.87,3.01
Clutch points per round,0.03,0.02,0.03
Damage per kill,111,110,111
Damage per round,87.3,93.7,81.0
Damage per round win,104.6,109.5,99.3
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.70,0.43,0.98
Kills per round,0.76,0.82,0.71
Kills per round win,1.02,1.09,0.95
Last alive percentage,11.8%,10.1%,13.5%
Opening attempts,17.5%,17.8%,17.2%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,16.8%,12.3%,20.4%
Opening kills per round,0.09,0.11,0.08
Opening success,54.3%,60.1%,48.2%
Pistol round rating,1.11,1.24,0.99
Rating 1.0,1.13,1.23,1.03
Rounds with a kill,50.1%,52.8%,47.4%
Rounds with a multi-kill,19.6%,21.9%,17.3%
Rounds with sniper kills percentage,2.9%,4.4%,1.4%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.10,0.08,0.10
Saves per round loss,5.3%,9.5%,1.5%
Sniper kills per round,0.04,0.05,0.01
Sniper kills percentage,4.8%,6.4%,2.2%
Sniper multi-kill rounds,0.009,0.01,0.004
Sniper opening kills per round,0.005,0.008,0.002
Support rounds,17.5%,18.9%,15.0%
Time alive per round,0m 52s,1m 3s,0m 42s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.13,0.12,0.14
Trade kills percentage,16.9%,15.0%,19.1%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,18.2%,18.1%,18.3%
Utility damage per round,7.91,11.98,3.85
Utility kills per 100 rounds,1.95,2.80,0.97
Win% after opening kill,77.9%,76.8%,79.3%
