metric,Both,CT,T
1on1 win percentage,59.0%,55.6%,61.8%
Assisted kills percentage,18.9%,19.7%,17.9%
Assists per round,0.17,0.19,0.14
Attacks per round,3.07,3.31,2.54
Clutch points per round,0.02,0.01,0.02
Damage per kill,108,109,106
Damage per round,82.3,87.1,77.3
Damage per round win,95.1,97.4,92.4
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.74,0.65,0.87
Kills per round,0.73,0.76,0.69
Kills per round win,0.96,0.98,0.93
Last alive percentage,8.1%,6.0%,10.3%
Opening attempts,20.1%,20.0%,20.2%
Opening deaths per round,0.10,0.09,0.11
Opening deaths traded percentage,25.6%,23.5%,27.5%
Opening kills per round,0.10,0.11,0.09
Opening success,51.3%,56.2%,46.2%
Pistol round rating,1.14,1.25,1.03
Rating 1.0,1.07,1.13,1.01
Rounds with a kill,49.6%,51.1%,47.9%
Rounds with a multi-kill,17.7%,18.9%,16.5%
Rounds with sniper kills percentage,1.2%,1.2%,1.2%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,4.6%,7.7%,1.9%
Sniper kills per round,0.02,0.01,0.02
Sniper kills percentage,2.2%,2.1%,2.6%
Sniper multi-kill rounds,0.004,0.004,0.004
Sniper opening kills per round,0.002,0.002,0.001
Support rounds,18.0%,18.7%,15.3%
Time alive per round,0m 55s,0m 43s,1m 8s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.13,0.11,0.14
Trade kills percentage,17.4%,14.8%,20.5%
Traded deaths per round,0.13,0.13,0.14
Traded deaths percentage,20.7%,21.1%,20.4%
Utility damage per round,6.20,8.58,3.70
Utility kills per 100 rounds,1.39,1.52,1.00
Win% after opening kill,78.0%,80.4%,75.1%
