metric,Both,CT,T
1on1 win percentage,62.0%,52.0%,67.4%
Assisted kills percentage,18.7%,20.2%,17.3%
Assists per round,0.16,0.17,0.14
Attacks per round,3.22,3.31,2.93
Clutch points per round,0.02,0.02,0.03
Damage per kill,108,109,107
Damage per round,84.2,85.8,82.8
Damage per round win,106.3,105.2,107.3
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.98,0.69,1.15
Kills per round,0.75,0.76,0.75
Kills per round win,1.06,1.05,1.07
Last alive percentage,9.6%,9.0%,10.1%
Opening attempts,24.7%,21.7%,27.3%
Opening deaths per round,0.13,0.11,0.15
Opening deaths traded percentage,21.0%,15.9%,24.2%
Opening kills per round,0.12,0.11,0.13
Opening success,48.5%,51.1%,46.6%
Pistol round rating,1.02,1.16,0.87
Rating 1.0,1.09,1.11,1.06
Rounds with a kill,49.8%,51.1%,48.7%
Rounds with a multi-kill,18.9%,18.6%,19.3%
Rounds with sniper kills percentage,1.1%,1.2%,1.0%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.08,0.07,0.09
Saves per round loss,4.1%,7.3%,1.2%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.7%,1.9%,1.6%
Sniper multi-kill rounds,0.001,0.002,0.0007
Sniper opening kills per round,0.002,0.004,0.0007
Support rounds,14.6%,16.4%,12.0%
Time alive per round,1m 4s,1m 3s,1m 4s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.11,0.13
Trade kills percentage,16.0%,14.5%,17.4%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,19.9%,18.0%,21.4%
Utility damage per round,3.72,4.84,2.74
Utility kills per 100 rounds,0.77,0.90,0.66
Win% after opening kill,76.8%,71.7%,80.7%
