metric,Both,CT,T
1on1 win percentage,52.1%,46.4%,60.0%
Assisted kills percentage,17.1%,17.8%,16.4%
Assists per round,0.10,0.11,0.09
Attacks per round,1.63,1.74,1.41
Clutch points per round,0.02,0.01,0.03
Damage per kill,99,97,101
Damage per round,75.1,82.9,67.7
Damage per round win,95.1,102.0,87.7
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.59,0.40,0.74
Kills per round,0.73,0.82,0.65
Kills per round win,1.01,1.09,0.92
Last alive percentage,11.4%,9.6%,13.2%
Opening attempts,22.9%,25.0%,21.0%
Opening deaths per round,0.10,0.09,0.11
Opening deaths traded percentage,18.2%,12.2%,23.1%
Opening kills per round,0.13,0.16,0.10
Opening success,55.8%,62.4%,48.4%
Pistol round rating,1.10,1.38,0.82
Rating 1.0,1.09,1.24,0.95
Rounds with a kill,48.4%,52.3%,44.8%
Rounds with a multi-kill,18.2%,21.4%,15.2%
Rounds with sniper kills percentage,33.5%,37.2%,29.9%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.09,0.08,0.09
Saves per round loss,6.3%,9.8%,3.4%
Sniper kills per round,0.46,0.51,0.38
Sniper kills percentage,63.0%,64.8%,61.0%
Sniper multi-kill rounds,0.13,0.15,0.10
Sniper opening kills per round,0.10,0.13,0.07
Support rounds,14.8%,14.8%,13.8%
Time alive per round,1m 4s,1m 1s,1m 8s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.12,0.12,0.12
Trade kills percentage,16.3%,14.2%,18.8%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,17.5%,16.7%,18.1%
Utility damage per round,2.53,3.99,1.14
Utility kills per 100 rounds,0.58,1.01,0.18
Win% after opening kill,76.6%,76.3%,77.1%
