metric,Both,CT,T
1on1 win percentage,56.5%,44.6%,75.0%
Assisted kills percentage,19.5%,18.9%,20.1%
Assists per round,0.10,0.10,0.10
Attacks per round,1.91,1.95,1.72
Clutch points per round,0.02,0.02,0.03
Damage per kill,96,96,96
Damage per round,76.5,80.5,72.5
Damage per round win,95.5,102.2,89.1
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.62,0.44,0.79
Kills per round,0.76,0.80,0.72
Kills per round win,1.04,1.11,0.97
Last alive percentage,10.5%,9.7%,11.2%
Opening attempts,18.1%,21.7%,14.6%
Opening deaths per round,0.07,0.08,0.06
Opening deaths traded percentage,26.2%,20.7%,33.2%
Opening kills per round,0.11,0.14,0.08
Opening success,60.7%,62.7%,57.8%
Pistol round rating,1.16,1.25,1.06
Rating 1.0,1.13,1.19,1.07
Rounds with a kill,50.5%,52.4%,48.6%
Rounds with a multi-kill,19.4%,21.2%,17.6%
Rounds with sniper kills percentage,29.0%,31.5%,26.5%
Saved by teammate per round,0.10,0.07,0.12
Saved teammate per round,0.11,0.08,0.13
Saves per round loss,4.4%,7.8%,1.2%
Sniper kills per round,0.39,0.42,0.33
Sniper kills percentage,51.6%,55.0%,48.8%
Sniper multi-kill rounds,0.11,0.13,0.09
Sniper opening kills per round,0.08,0.10,0.06
Support rounds,14.9%,14.3%,14.0%
Time alive per round,1m 13s,0m 28s,1m 57s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,20.8%,17.0%,24.9%
Traded deaths per round,0.12,0.10,0.13
Traded deaths percentage,18.5%,16.7%,20.3%
Utility damage per round,3.67,4.54,2.84
Utility kills per 100 rounds,1.43,1.84,0.94
Win% after opening kill,74.1%,74.4%,73.5%
