metric,Both,CT,T
1on1 win percentage,64.9%,64.7%,65.0%
Assisted kills percentage,15.0%,14.8%,15.1%
Assists per round,0.10,0.11,0.10
Attacks per round,2.25,2.16,2.10
Clutch points per round,0.02,0.02,0.02
Damage per kill,98,98,98
Damage per round,85.2,87.0,83.6
Damage per round win,108.3,111.7,105.1
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.55,0.30,0.77
Kills per round,0.82,0.84,0.81
Kills per round win,1.14,1.18,1.10
Last alive percentage,10.3%,8.6%,11.9%
Opening attempts,22.7%,24.9%,20.7%
Opening deaths per round,0.10,0.10,0.10
Opening deaths traded percentage,13.6%,13.1%,14.1%
Opening kills per round,0.13,0.15,0.10
Opening success,55.3%,59.6%,50.5%
Pistol round rating,1.36,1.47,1.25
Rating 1.0,1.15,1.18,1.13
Rounds with a kill,52.6%,54.3%,51.1%
Rounds with a multi-kill,22.2%,22.0%,22.4%
Rounds with sniper kills percentage,17.0%,22.4%,11.9%
Saved by teammate per round,0.09,0.07,0.09
Saved teammate per round,0.10,0.07,0.11
Saves per round loss,3.1%,5.5%,0.7%
Sniper kills per round,0.22,0.27,0.12
Sniper kills percentage,26.8%,33.3%,15.9%
Sniper multi-kill rounds,0.06,0.09,0.04
Sniper opening kills per round,0.05,0.07,0.03
Support rounds,11.2%,11.8%,10.0%
Time alive per round,1m 0s,0m 58s,1m 2s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,16.9%,14.2%,19.5%
Traded deaths per round,0.12,0.13,0.12
Traded deaths percentage,17.2%,18.0%,16.6%
Utility damage per round,1.17,1.41,0.94
Utility kills per 100 rounds,0.21,0.27,0.15
Win% after opening kill,77.1%,73.3%,82.2%
