metric,Both,CT,T
1on1 win percentage,57.6%,53.6%,62.8%
Assisted kills percentage,17.4%,18.1%,16.7%
Assists per round,0.13,0.15,0.10
Attacks per round,2.54,2.75,2.13
Clutch points per round,0.03,0.02,0.03
Damage per kill,104,107,100
Damage per round,82.6,86.3,78.6
Damage per round win,101.6,105.9,96.9
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.80,0.63,1.01
Kills per round,0.77,0.78,0.75
Kills per round win,1.04,1.07,1.01
Last alive percentage,12.2%,10.4%,14.2%
Opening attempts,18.2%,19.0%,17.3%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,26.8%,18.5%,36.0%
Opening kills per round,0.10,0.11,0.09
Opening success,55.6%,56.6%,54.5%
Pistol round rating,1.17,1.27,1.08
Rating 1.0,1.11,1.15,1.08
Rounds with a kill,50.3%,51.1%,49.5%
Rounds with a multi-kill,19.8%,20.1%,19.5%
Rounds with sniper kills percentage,0.9%,0.7%,1.1%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.12,0.09,0.14
Saves per round loss,4.4%,7.8%,1.1%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.1%,0.9%,1.4%
Sniper multi-kill rounds,0.001,0.001,0.001
Sniper opening kills per round,0.001,0.0006,0.001
Support rounds,15.7%,17.5%,12.8%
Time alive per round,1m 1s,1m 1s,1m 0s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.15,0.13,0.18
Trade kills percentage,20.2%,16.8%,23.9%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,20.0%,18.7%,21.2%
Utility damage per round,2.63,3.48,1.72
Utility kills per 100 rounds,0.32,0.40,0.20
Win% after opening kill,70.9%,68.8%,73.4%
