metric,Both,CT,T
1on1 win percentage,67.4%,65.1%,69.8%
Assisted kills percentage,15.2%,18.3%,11.5%
Assists per round,0.12,0.14,0.10
Attacks per round,2.61,2.70,2.31
Clutch points per round,0.02,0.02,0.03
Damage per kill,103,102,105
Damage per round,85.0,87.8,82.1
Damage per round win,105.4,108.1,102.4
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.88,0.71,1.09
Kills per round,0.79,0.83,0.75
Kills per round win,1.08,1.13,1.02
Last alive percentage,11.7%,9.2%,14.3%
Opening attempts,22.8%,23.2%,22.3%
Opening deaths per round,0.10,0.10,0.11
Opening deaths traded percentage,19.7%,17.3%,22.2%
Opening kills per round,0.12,0.13,0.12
Opening success,54.8%,56.6%,52.9%
Pistol round rating,1.15,1.37,0.93
Rating 1.0,1.13,1.20,1.06
Rounds with a kill,52.3%,54.3%,50.3%
Rounds with a multi-kill,20.0%,21.4%,18.5%
Rounds with sniper kills percentage,8.2%,10.8%,5.4%
Saved by teammate per round,0.07,0.06,0.07
Saved teammate per round,0.08,0.07,0.08
Saves per round loss,3.2%,5.6%,0.7%
Sniper kills per round,0.11,0.14,0.07
Sniper kills percentage,13.7%,17.7%,9.6%
Sniper multi-kill rounds,0.02,0.03,0.02
Sniper opening kills per round,0.02,0.03,0.01
Support rounds,12.8%,13.8%,10.5%
Time alive per round,1m 13s,1m 27s,0m 58s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.13,0.12,0.13
Trade kills percentage,15.8%,14.8%,16.9%
Traded deaths per round,0.11,0.11,0.12
Traded deaths percentage,16.9%,17.1%,16.6%
Utility damage per round,1.85,2.80,0.83
Utility kills per 100 rounds,0.39,0.51,0.17
Win% after opening kill,71.1%,70.8%,71.5%
