metric,Both,CT,T
1on1 win percentage,67.0%,59.3%,80.0%
Assisted kills percentage,18.2%,18.6%,17.7%
Assists per round,0.12,0.13,0.11
Attacks per round,2.49,2.54,2.26
Clutch points per round,0.03,0.03,0.03
Damage per kill,104,104,104
Damage per round,77.5,82.5,72.5
Damage per round win,100.4,104.5,95.9
Flash assists per round,0.0,0.0,0.0
Flashes thrown per round,0.78,0.64,0.92
Kills per round,0.72,0.77,0.67
Kills per round win,1.04,1.09,0.99
Last alive percentage,12.0%,11.3%,12.8%
Opening attempts,23.5%,26.1%,20.9%
Opening deaths per round,0.11,0.11,0.11
Opening deaths traded percentage,16.8%,12.4%,20.9%
Opening kills per round,0.13,0.15,0.10
Opening success,53.5%,58.9%,46.7%
Pistol round rating,0.88,0.95,0.82
Rating 1.0,1.05,1.14,0.97
Rounds with a kill,47.9%,50.0%,45.8%
Rounds with a multi-kill,18.3%,20.1%,16.5%
Rounds with sniper kills percentage,20.6%,24.4%,16.9%
Saved by teammate per round,0.08,0.06,0.09
Saved teammate per round,0.08,0.06,0.10
Saves per round loss,3.7%,6.4%,1.3%
Sniper kills per round,0.27,0.32,0.22
Sniper kills percentage,37.9%,42.2%,34.0%
Sniper multi-kill rounds,0.08,0.10,0.06
Sniper opening kills per round,0.06,0.08,0.04
Support rounds,14.9%,15.8%,13.0%
Time alive per round,0m 45s,1m 0s,0m 30s
Time opponent flashed per round,0.0,0.0,0.0
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,17.8%,14.3%,21.9%
Traded deaths per round,0.11,0.09,0.13
Traded deaths percentage,16.5%,14.5%,18.2%
Utility damage per round,3.81,4.75,2.88
Utility kills per 100 rounds,1.18,1.30,1.02
Win% after opening kill,74.0%,75.8%,71.4%
