metric,Both,CT,T
1on1 win percentage,63.2%,47.6%,82.4%
Assisted kills percentage,22.1%,23.0%,21.1%
Assists per round,0.16,0.16,0.16
Attacks per round,3.00,3.15,2.84
Clutch points per round,0.03,0.01,0.04
Damage per kill,106,103,110
Damage per round,81.9,84.7,78.9
Damage per round win,101.6,105.8,97.5
Flash assists per round,0.05,0.06,0.04
Flashes thrown per round,0.65,0.56,0.74
Kills per round,0.77,0.82,0.72
Kills per round win,1.02,1.10,0.94
Last alive percentage,11.7%,10.7%,12.7%
Opening attempts,16.6%,16.2%,17.0%
Opening deaths per round,0.07,0.04,0.09
Opening deaths traded percentage,26.2%,23.4%,27.6%
Opening kills per round,0.10,0.12,0.08
Opening success,59.3%,73.0%,46.2%
Pistol round rating,1.33,1.40,1.26
Rating 2.0,1.18,1.20,1.17
Rounds with a kill,51.1%,53.8%,48.3%
Rounds with a multi-kill,19.3%,21.3%,17.3%
Rounds with sniper kills percentage,10.6%,16.7%,4.6%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.14,0.11,0.17
Saves per round loss,5.5%,9.6%,1.3%
Sniper kills per round,0.14,0.22,0.05
Sniper kills percentage,17.6%,27.3%,6.5%
Sniper multi-kill rounds,0.03,0.06,0.01
Sniper opening kills per round,0.03,0.05,0.01
Support rounds,17.2%,17.5%,16.8%
Time alive per round,0m 32s,0m 1s,1m 4s
Time opponent flashed per round,2.55,2.97,2.24
Trade kills per round,0.18,0.15,0.21
Trade kills percentage,23.7%,18.8%,29.4%
Traded deaths per round,0.12,0.12,0.12
Traded deaths percentage,18.8%,19.2%,18.4%
Utility damage per round,5.69,7.15,4.24
Utility kills per 100 rounds,1.68,2.24,1.12
Win% after opening kill,68.2%,64.6%,73.8%
