metric,Both,CT,T
1on1 win percentage,67.1%,60.5%,74.3%
Assisted kills percentage,19.6%,20.9%,18.3%
Assists per round,0.18,0.20,0.15
Attacks per round,3.42,3.77,3.06
Clutch points per round,0.02,0.01,0.03
Damage per kill,116,118,113
Damage per round,84.6,88.0,81.2
Damage per round win,107.2,110.1,104.5
Flash assists per round,0.03,0.02,0.03
Flashes thrown per round,0.56,0.46,0.65
Kills per round,0.73,0.75,0.72
Kills per round win,1.00,1.01,0.99
Last alive percentage,10.4%,10.1%,10.8%
Opening attempts,18.9%,18.3%,19.6%
Opening deaths per round,0.09,0.08,0.09
Opening deaths traded percentage,18.4%,18.2%,18.5%
Opening kills per round,0.10,0.10,0.10
Opening success,54.1%,56.5%,51.9%
Pistol round rating,1.06,0.98,1.13
Rating 2.0,1.15,1.12,1.19
Rounds with a kill,48.8%,50.1%,47.5%
Rounds with a multi-kill,18.5%,18.7%,18.2%
Rounds with sniper kills percentage,0.2%,0.3%,0.2%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,5.5%,9.7%,1.1%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.3%,0.3%,0.3%
Sniper multi-kill rounds,0.0003,0.0007,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,17.9%,20.3%,15.5%
Time alive per round,1m 5s,1m 5s,1m 6s
Time opponent flashed per round,1.99,1.95,2.02
Trade kills per round,0.14,0.12,0.15
Trade kills percentage,18.8%,16.6%,21.1%
Traded deaths per round,0.12,0.12,0.13
Traded deaths percentage,18.6%,18.0%,19.2%
Utility damage per round,8.78,10.66,6.91
Utility kills per 100 rounds,1.89,2.37,1.42
Win% after opening kill,77.5%,75.2%,79.9%
