metric,Both,CT,T
1on1 win percentage,62.6%,55.2%,70.2%
Assisted kills percentage,17.0%,16.4%,17.8%
Assists per round,0.11,0.11,0.10
Attacks per round,1.98,1.99,1.96
Clutch points per round,0.03,0.02,0.04
Damage per kill,105,104,105
Damage per round,73.6,80.1,66.8
Damage per round win,92.7,102.6,82.5
Flash assists per round,0.06,0.05,0.07
Flashes thrown per round,0.92,0.69,1.18
Kills per round,0.70,0.77,0.64
Kills per round win,0.93,1.03,0.82
Last alive percentage,10.2%,8.8%,11.7%
Opening attempts,20.2%,24.5%,15.7%
Opening deaths per round,0.08,0.09,0.08
Opening deaths traded percentage,20.5%,17.7%,23.8%
Opening kills per round,0.12,0.16,0.08
Opening success,58.9%,64.3%,50.2%
Pistol round rating,1.05,1.08,1.01
Rating 2.0,1.14,1.17,1.10
Rounds with a kill,47.9%,51.3%,44.5%
Rounds with a multi-kill,17.0%,19.1%,14.9%
Rounds with sniper kills percentage,29.1%,35.8%,22.1%
Saved by teammate per round,0.08,0.06,0.09
Saved teammate per round,0.08,0.06,0.10
Saves per round loss,6.3%,10.3%,2.1%
Sniper kills per round,0.39,0.49,0.29
Sniper kills percentage,55.6%,63.8%,45.4%
Sniper multi-kill rounds,0.10,0.13,0.07
Sniper opening kills per round,0.09,0.13,0.05
Support rounds,19.2%,18.4%,20.0%
Time alive per round,1m 9s,1m 7s,1m 11s
Time opponent flashed per round,2.26,2.54,2.09
Trade kills per round,0.13,0.10,0.15
Trade kills percentage,18.2%,13.2%,24.3%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,18.7%,17.0%,20.3%
Utility damage per round,2.83,2.97,2.69
Utility kills per 100 rounds,0.65,0.53,0.78
Win% after opening kill,76.2%,75.6%,77.5%
