metric,Both,CT,T
1on1 win percentage,51.9%,58.3%,38.9%
Assisted kills percentage,17.5%,17.8%,17.1%
Assists per round,0.12,0.12,0.12
Attacks per round,2.57,2.56,2.57
Clutch points per round,0.02,0.02,0.02
Damage per kill,106,104,108
Damage per round,80.1,80.0,80.3
Damage per round win,102.8,100.8,104.9
Flash assists per round,0.02,0.02,0.01
Flashes thrown per round,0.60,0.55,0.66
Kills per round,0.75,0.77,0.74
Kills per round win,1.03,1.03,1.03
Last alive percentage,11.1%,11.2%,11.0%
Opening attempts,24.6%,23.7%,25.4%
Opening deaths per round,0.12,0.10,0.13
Opening deaths traded percentage,18.8%,13.6%,22.5%
Opening kills per round,0.13,0.14,0.12
Opening success,52.8%,59.1%,46.9%
Pistol round rating,1.37,1.27,1.46
Rating 2.0,1.13,1.11,1.16
Rounds with a kill,48.8%,49.1%,48.5%
Rounds with a multi-kill,19.0%,19.3%,18.7%
Rounds with sniper kills percentage,6.0%,11.2%,0.7%
Saved by teammate per round,0.09,0.06,0.11
Saved teammate per round,0.10,0.07,0.13
Saves per round loss,4.6%,7.9%,1.4%
Sniper kills per round,0.08,0.14,0.01
Sniper kills percentage,10.1%,18.8%,0.9%
Sniper multi-kill rounds,0.02,0.04,0.0008
Sniper opening kills per round,0.02,0.03,0.0004
Support rounds,16.0%,19.3%,12.6%
Time alive per round,1m 1s,1m 1s,1m 0s
Time opponent flashed per round,1.28,1.38,1.20
Trade kills per round,0.14,0.11,0.17
Trade kills percentage,18.3%,14.4%,22.3%
Traded deaths per round,0.11,0.09,0.13
Traded deaths percentage,16.4%,15.1%,17.5%
Utility damage per round,1.24,1.31,1.18
Utility kills per 100 rounds,0.32,0.32,0.32
Win% after opening kill,72.8%,71.7%,74.1%
