metric,Both,CT,T
1on1 win percentage,63.9%,55.6%,76.0%
Assisted kills percentage,20.9%,21.2%,20.5%
Assists per round,0.14,0.16,0.12
Attacks per round,2.68,2.99,2.35
Clutch points per round,0.01,0.01,0.02
Damage per kill,107,108,106
Damage per round,75.6,80.5,70.5
Damage per round win,96.1,98.5,93.3
Flash assists per round,0.02,0.02,0.03
Flashes thrown per round,0.63,0.45,0.83
Kills per round,0.71,0.75,0.66
Kills per round win,0.96,0.97,0.94
Last alive percentage,9.1%,8.4%,9.9%
Opening attempts,20.1%,19.2%,21.2%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,25.1%,17.2%,30.8%
Opening kills per round,0.10,0.11,0.09
Opening success,49.6%,56.5%,43.1%
Pistol round rating,1.09,1.07,1.12
Rating 2.0,1.08,1.11,1.06
Rounds with a kill,47.7%,50.3%,45.1%
Rounds with a multi-kill,17.7%,19.1%,16.2%
Rounds with sniper kills percentage,0.4%,0.5%,0.3%
Saved by teammate per round,0.10,0.08,0.13
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,6.2%,10.2%,2.5%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.6%,0.5%,0.6%
Sniper multi-kill rounds,0.0009,0.001,0.0007
Sniper opening kills per round,0.0002,0.0,0.0004
Support rounds,16.4%,19.3%,13.4%
Time alive per round,1m 5s,1m 5s,1m 4s
Time opponent flashed per round,1.69,1.84,1.61
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,19.1%,15.5%,23.3%
Traded deaths per round,0.13,0.11,0.16
Traded deaths percentage,20.4%,18.4%,22.1%
Utility damage per round,2.88,4.47,1.23
Utility kills per 100 rounds,0.64,0.94,0.33
Win% after opening kill,78.6%,79.0%,78.1%
