metric,Both,CT,T
1on1 win percentage,55.2%,50.8%,62.2%
Assisted kills percentage,16.5%,17.4%,15.5%
Assists per round,0.13,0.16,0.11
Attacks per round,2.82,3.00,2.63
Clutch points per round,0.03,0.02,0.03
Damage per kill,107,107,107
Damage per round,86.0,88.9,82.9
Damage per round win,108.8,109.4,108.1
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.68,0.48,0.89
Kills per round,0.80,0.83,0.77
Kills per round win,1.07,1.08,1.07
Last alive percentage,10.8%,9.2%,12.5%
Opening attempts,21.8%,23.7%,19.9%
Opening deaths per round,0.10,0.10,0.10
Opening deaths traded percentage,19.5%,19.7%,19.4%
Opening kills per round,0.12,0.14,0.10
Opening success,55.3%,59.9%,49.8%
Pistol round rating,1.31,1.23,1.39
Rating 2.0,1.23,1.23,1.23
Rounds with a kill,51.8%,52.9%,50.7%
Rounds with a multi-kill,21.0%,22.3%,19.6%
Rounds with sniper kills percentage,3.6%,5.7%,1.4%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.10,0.08,0.11
Saves per round loss,4.0%,6.7%,1.6%
Sniper kills per round,0.05,0.08,0.02
Sniper kills percentage,6.0%,9.3%,2.3%
Sniper multi-kill rounds,0.01,0.02,0.004
Sniper opening kills per round,0.01,0.02,0.004
Support rounds,15.9%,19.1%,12.7%
Time alive per round,1m 3s,1m 3s,1m 4s
Time opponent flashed per round,1.74,1.89,1.66
Trade kills per round,0.14,0.12,0.15
Trade kills percentage,16.9%,14.6%,19.4%
Traded deaths per round,0.13,0.12,0.13
Traded deaths percentage,19.5%,19.1%,19.8%
Utility damage per round,3.39,4.49,2.28
Utility kills per 100 rounds,0.72,0.97,0.48
Win% after opening kill,74.4%,73.2%,76.2%
