metric,Both,CT,T
1on1 win percentage,66.2%,60.0%,75.9%
Assisted kills percentage,18.1%,20.8%,15.0%
Assists per round,0.12,0.13,0.11
Attacks per round,2.64,2.80,2.49
Clutch points per round,0.02,0.02,0.02
Damage per kill,107,105,110
Damage per round,78.4,80.6,76.2
Damage per round win,100.4,98.6,102.4
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.40,0.32,0.49
Kills per round,0.73,0.77,0.69
Kills per round win,0.99,1.00,0.99
Last alive percentage,9.7%,9.4%,9.9%
Opening attempts,21.8%,20.0%,23.6%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,19.2%,13.5%,23.0%
Opening kills per round,0.12,0.12,0.11
Opening success,52.9%,59.1%,47.7%
Pistol round rating,1.22,1.25,1.19
Rating 2.0,1.11,1.12,1.11
Rounds with a kill,49.1%,51.8%,46.3%
Rounds with a multi-kill,18.2%,19.2%,17.2%
Rounds with sniper kills percentage,7.0%,10.1%,3.9%
Saved by teammate per round,0.09,0.07,0.10
Saved teammate per round,0.09,0.08,0.11
Saves per round loss,3.7%,5.7%,1.8%
Sniper kills per round,0.09,0.13,0.05
Sniper kills percentage,12.7%,17.1%,7.7%
Sniper multi-kill rounds,0.02,0.04,0.01
Sniper opening kills per round,0.02,0.03,0.01
Support rounds,15.3%,18.3%,12.3%
Time alive per round,1m 3s,1m 4s,1m 3s
Time opponent flashed per round,1.61,1.84,1.47
Trade kills per round,0.13,0.12,0.14
Trade kills percentage,17.7%,15.7%,20.0%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,18.5%,18.2%,18.8%
Utility damage per round,4.81,5.34,4.27
Utility kills per 100 rounds,1.16,1.38,0.92
Win% after opening kill,75.0%,75.5%,74.5%
