metric,Both,CT,T
1on1 win percentage,58.3%,46.3%,69.8%
Assisted kills percentage,15.8%,17.6%,13.8%
Assists per round,0.11,0.13,0.09
Attacks per round,2.01,2.19,1.83
Clutch points per round,0.03,0.02,0.04
Damage per kill,104,104,105
Damage per round,81.6,85.0,78.2
Damage per round win,107.8,111.5,104.1
Flash assists per round,0.05,0.03,0.06
Flashes thrown per round,0.72,0.60,0.85
Kills per round,0.78,0.82,0.74
Kills per round win,1.09,1.13,1.04
Last alive percentage,11.0%,8.9%,13.2%
Opening attempts,24.2%,25.8%,22.5%
Opening deaths per round,0.11,0.10,0.11
Opening deaths traded percentage,14.0%,14.4%,13.7%
Opening kills per round,0.14,0.16,0.12
Opening success,56.0%,60.0%,51.4%
Pistol round rating,1.31,1.08,1.54
Rating 2.0,1.18,1.18,1.19
Rounds with a kill,50.4%,51.8%,49.0%
Rounds with a multi-kill,20.5%,22.3%,18.7%
Rounds with sniper kills percentage,33.1%,33.4%,32.8%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.09,0.07,0.11
Saves per round loss,5.5%,9.5%,1.6%
Sniper kills per round,0.44,0.46,0.42
Sniper kills percentage,56.5%,56.2%,56.8%
Sniper multi-kill rounds,0.13,0.13,0.13
Sniper opening kills per round,0.10,0.11,0.09
Support rounds,14.7%,16.3%,13.1%
Time alive per round,1m 2s,1m 2s,1m 3s
Time opponent flashed per round,2.00,2.21,1.85
Trade kills per round,0.15,0.12,0.17
Trade kills percentage,18.6%,14.5%,23.2%
Traded deaths per round,0.11,0.10,0.11
Traded deaths percentage,16.8%,16.5%,17.0%
Utility damage per round,2.46,3.23,1.68
Utility kills per 100 rounds,0.68,1.00,0.36
Win% after opening kill,75.4%,73.4%,78.0%
