metric,Both,CT,T
1on1 win percentage,71.2%,61.3%,80.0%
Assisted kills percentage,20.1%,21.9%,18.0%
Assists per round,0.16,0.18,0.13
Attacks per round,3.27,3.55,2.98
Clutch points per round,0.03,0.02,0.04
Damage per kill,115,115,116
Damage per round,77.9,80.3,75.5
Damage per round win,96.7,97.4,95.9
Flash assists per round,0.03,0.03,0.04
Flashes thrown per round,0.71,0.48,0.98
Kills per round,0.68,0.70,0.65
Kills per round win,0.92,0.93,0.92
Last alive percentage,12.2%,10.7%,13.8%
Opening attempts,14.3%,14.4%,14.1%
Opening deaths per round,0.07,0.06,0.08
Opening deaths traded percentage,22.5%,21.7%,23.1%
Opening kills per round,0.07,0.09,0.06
Opening success,51.2%,59.8%,42.2%
Pistol round rating,0.93,0.88,0.99
Rating 2.0,1.09,1.09,1.08
Rounds with a kill,45.9%,47.3%,44.5%
Rounds with a multi-kill,16.5%,17.3%,15.7%
Rounds with sniper kills percentage,0.3%,0.3%,0.3%
Saved by teammate per round,0.08,0.06,0.10
Saved teammate per round,0.09,0.08,0.11
Saves per round loss,5.0%,8.5%,1.8%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.4%,0.4%
Sniper multi-kill rounds,0.0002,0.0003,0.0
Sniper opening kills per round,0.0005,0.0003,0.0007
Support rounds,20.3%,24.0%,16.5%
Time alive per round,1m 8s,1m 8s,1m 9s
Time opponent flashed per round,1.85,2.17,1.69
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,19.7%,16.2%,23.6%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,18.7%,18.3%,19.1%
Utility damage per round,5.44,8.32,2.45
Utility kills per 100 rounds,1.07,1.43,0.69
Win% after opening kill,77.4%,74.5%,81.7%
