metric,Both,CT,T
1on1 win percentage,58.5%,47.8%,72.2%
Assisted kills percentage,18.6%,21.9%,15.1%
Assists per round,0.12,0.14,0.11
Attacks per round,2.73,2.83,2.63
Clutch points per round,0.02,0.01,0.03
Damage per kill,106,102,111
Damage per round,79.4,80.1,78.7
Damage per round win,106.8,100.7,113.5
Flash assists per round,0.04,0.04,0.03
Flashes thrown per round,0.52,0.35,0.68
Kills per round,0.75,0.79,0.71
Kills per round win,1.05,1.03,1.06
Last alive percentage,11.8%,10.7%,13.0%
Opening attempts,18.6%,18.2%,18.9%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,20.9%,14.6%,25.4%
Opening kills per round,0.11,0.11,0.10
Opening success,56.6%,62.9%,50.6%
Pistol round rating,1.14,0.99,1.29
Rating 2.0,1.13,1.13,1.12
Rounds with a kill,50.7%,52.6%,48.8%
Rounds with a multi-kill,18.0%,19.6%,16.4%
Rounds with sniper kills percentage,8.4%,13.8%,3.0%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.11,0.08,0.14
Saves per round loss,7.2%,12.5%,2.5%
Sniper kills per round,0.11,0.17,0.04
Sniper kills percentage,14.2%,22.1%,5.5%
Sniper multi-kill rounds,0.02,0.04,0.007
Sniper opening kills per round,0.02,0.04,0.006
Support rounds,15.1%,18.5%,11.8%
Time alive per round,1m 8s,1m 9s,1m 8s
Time opponent flashed per round,2.53,3.21,2.18
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,19.5%,16.1%,23.2%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,19.3%,17.1%,21.2%
Utility damage per round,3.58,4.58,2.58
Utility kills per 100 rounds,1.02,1.19,0.84
Win% after opening kill,69.3%,62.0%,78.1%
