metric,Both,CT,T
1on1 win percentage,45.5%,37.0%,53.6%
Assisted kills percentage,17.5%,19.4%,15.3%
Assists per round,0.14,0.17,0.12
Attacks per round,2.66,2.94,2.36
Clutch points per round,0.01,0.008,0.02
Damage per kill,108,107,110
Damage per round,79.7,84.2,75.0
Damage per round win,98.8,101.9,95.2
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.49,0.38,0.62
Kills per round,0.74,0.79,0.68
Kills per round win,0.96,1.00,0.91
Last alive percentage,7.6%,7.5%,7.8%
Opening attempts,22.7%,21.6%,23.8%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,28.7%,22.7%,32.9%
Opening kills per round,0.12,0.13,0.11
Opening success,54.9%,62.0%,48.1%
Pistol round rating,1.31,1.37,1.26
Rating 2.0,1.17,1.21,1.12
Rounds with a kill,49.0%,52.2%,45.7%
Rounds with a multi-kill,18.5%,20.1%,16.8%
Rounds with sniper kills percentage,4.3%,7.5%,1.1%
Saved by teammate per round,0.10,0.07,0.13
Saved teammate per round,0.08,0.06,0.11
Saves per round loss,8.0%,15.4%,1.5%
Sniper kills per round,0.06,0.10,0.02
Sniper kills percentage,7.9%,12.6%,2.3%
Sniper multi-kill rounds,0.02,0.03,0.004
Sniper opening kills per round,0.02,0.03,0.004
Support rounds,18.0%,21.8%,14.1%
Time alive per round,1m 5s,1m 7s,1m 3s
Time opponent flashed per round,2.10,2.45,1.88
Trade kills per round,0.12,0.10,0.13
Trade kills percentage,16.0%,12.9%,19.7%
Traded deaths per round,0.14,0.11,0.16
Traded deaths percentage,21.6%,20.0%,23.0%
Utility damage per round,3.25,5.27,1.15
Utility kills per 100 rounds,0.63,1.04,0.20
Win% after opening kill,82.4%,83.1%,81.7%
