metric,Both,CT,T
1on1 win percentage,64.3%,55.6%,73.5%
Assisted kills percentage,20.3%,21.4%,18.8%
Assists per round,0.16,0.19,0.12
Attacks per round,3.14,3.64,2.61
Clutch points per round,0.03,0.02,0.04
Damage per kill,112,112,113
Damage per round,77.4,85.1,69.3
Damage per round win,94.6,102.2,85.9
Flash assists per round,0.08,0.07,0.09
Flashes thrown per round,0.94,0.74,1.18
Kills per round,0.69,0.76,0.62
Kills per round win,0.89,0.96,0.80
Last alive percentage,7.9%,5.5%,10.4%
Opening attempts,19.3%,19.9%,18.8%
Opening deaths per round,0.09,0.08,0.10
Opening deaths traded percentage,25.3%,21.5%,28.4%
Opening kills per round,0.10,0.12,0.08
Opening success,51.7%,58.0%,44.7%
Pistol round rating,1.02,1.11,0.94
Rating 2.0,1.12,1.18,1.06
Rounds with a kill,46.6%,50.5%,42.6%
Rounds with a multi-kill,17.1%,19.5%,14.5%
Rounds with sniper kills percentage,1.6%,2.0%,1.2%
Saved by teammate per round,0.09,0.07,0.12
Saved teammate per round,0.08,0.07,0.09
Saves per round loss,5.1%,9.2%,1.3%
Sniper kills per round,0.02,0.02,0.02
Sniper kills percentage,3.0%,3.1%,2.9%
Sniper multi-kill rounds,0.005,0.006,0.004
Sniper opening kills per round,0.003,0.003,0.003
Support rounds,19.9%,21.8%,17.9%
Time alive per round,1m 6s,1m 5s,1m 6s
Time opponent flashed per round,2.51,2.99,2.21
Trade kills per round,0.11,0.10,0.12
Trade kills percentage,16.4%,13.6%,19.9%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,21.0%,18.9%,22.9%
Utility damage per round,7.52,10.29,4.64
Utility kills per 100 rounds,1.51,2.05,0.95
Win% after opening kill,77.2%,76.5%,78.1%
