metric,Both,CT,T
1on1 win percentage,52.9%,52.4%,53.8%
Assisted kills percentage,17.0%,16.3%,17.8%
Assists per round,0.13,0.15,0.11
Attacks per round,3.07,3.43,2.70
Clutch points per round,0.02,0.01,0.02
Damage per kill,111,112,110
Damage per round,81.3,86.7,75.7
Damage per round win,106.7,110.9,102.2
Flash assists per round,0.03,0.03,0.04
Flashes thrown per round,0.58,0.45,0.72
Kills per round,0.73,0.78,0.69
Kills per round win,1.04,1.08,0.99
Last alive percentage,8.7%,7.7%,9.7%
Opening attempts,21.0%,18.4%,23.8%
Opening deaths per round,0.10,0.08,0.13
Opening deaths traded percentage,21.8%,25.3%,19.6%
Opening kills per round,0.11,0.11,0.11
Opening success,51.9%,57.7%,47.3%
Pistol round rating,1.17,1.16,1.18
Rating 2.0,1.11,1.14,1.08
Rounds with a kill,48.7%,51.1%,46.2%
Rounds with a multi-kill,18.3%,19.8%,16.7%
Rounds with sniper kills percentage,0.7%,0.7%,0.6%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,7.5%,12.6%,2.3%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.0%,1.1%,1.0%
Sniper multi-kill rounds,0.001,0.002,0.001
Sniper opening kills per round,0.0006,0.0006,0.0006
Support rounds,15.4%,18.5%,12.2%
Time alive per round,1m 3s,1m 4s,1m 2s
Time opponent flashed per round,2.25,2.46,2.12
Trade kills per round,0.13,0.12,0.14
Trade kills percentage,18.0%,16.1%,20.1%
Traded deaths per round,0.13,0.12,0.15
Traded deaths percentage,19.9%,19.6%,20.2%
Utility damage per round,4.90,6.07,3.69
Utility kills per 100 rounds,0.90,1.11,0.70
Win% after opening kill,76.2%,73.6%,78.7%
