metric,Both,CT,T
1on1 win percentage,55.0%,50.0%,61.5%
Assisted kills percentage,18.4%,19.2%,17.6%
Assists per round,0.13,0.15,0.11
Attacks per round,3.15,3.53,2.77
Clutch points per round,0.02,0.02,0.03
Damage per kill,109,110,109
Damage per round,80.8,86.3,75.2
Damage per round win,103.7,108.9,98.2
Flash assists per round,0.06,0.05,0.07
Flashes thrown per round,0.79,0.57,1.03
Kills per round,0.74,0.79,0.69
Kills per round win,1.01,1.06,0.95
Last alive percentage,11.6%,9.9%,13.4%
Opening attempts,13.8%,14.9%,12.6%
Opening deaths per round,0.06,0.06,0.06
Opening deaths traded percentage,26.1%,16.1%,35.6%
Opening kills per round,0.08,0.09,0.06
Opening success,55.5%,60.6%,49.4%
Pistol round rating,1.17,1.11,1.22
Rating 2.0,1.13,1.16,1.10
Rounds with a kill,49.1%,51.8%,46.3%
Rounds with a multi-kill,18.6%,19.6%,17.5%
Rounds with sniper kills percentage,0.5%,0.5%,0.6%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.10,0.08,0.13
Saves per round loss,7.8%,13.7%,2.2%
Sniper kills per round,0.01,0.00,0.01
Sniper kills percentage,0.8%,0.5%,1.0%
Sniper multi-kill rounds,0.001,0.001,0.001
Sniper opening kills per round,0.0005,0.0004,0.0007
Support rounds,17.4%,19.5%,15.3%
Time alive per round,1m 6s,1m 7s,1m 5s
Time opponent flashed per round,2.52,2.63,2.46
Trade kills per round,0.15,0.13,0.18
Trade kills percentage,20.9%,16.9%,25.5%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,20.3%,19.8%,20.6%
Utility damage per round,4.31,5.51,3.11
Utility kills per 100 rounds,1.23,1.37,1.10
Win% after opening kill,76.5%,77.1%,75.6%
