metric,Both,CT,T
1on1 win percentage,64.3%,57.5%,73.3%
Assisted kills percentage,17.1%,19.6%,14.5%
Assists per round,0.12,0.14,0.10
Attacks per round,2.81,3.12,2.51
Clutch points per round,0.02,0.01,0.02
Damage per kill,104,103,106
Damage per round,81.4,84.0,78.8
Damage per round win,105.8,103.6,108.1
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.62,0.45,0.76
Kills per round,0.78,0.81,0.75
Kills per round win,1.06,1.05,1.07
Last alive percentage,8.5%,8.3%,8.7%
Opening attempts,19.6%,18.2%,20.9%
Opening deaths per round,0.09,0.07,0.11
Opening deaths traded percentage,24.4%,16.6%,28.9%
Opening kills per round,0.11,0.12,0.10
Opening success,54.5%,63.6%,46.9%
Pistol round rating,1.32,1.26,1.38
Rating 2.0,1.18,1.20,1.17
Rounds with a kill,51.2%,53.8%,48.7%
Rounds with a multi-kill,19.7%,20.6%,18.8%
Rounds with sniper kills percentage,0.7%,0.9%,0.4%
Saved by teammate per round,0.10,0.08,0.11
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,6.2%,12.2%,1.0%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.3%,1.9%,0.7%
Sniper multi-kill rounds,0.003,0.004,0.0007
Sniper opening kills per round,0.0005,0.0003,0.0007
Support rounds,15.9%,19.5%,12.4%
Time alive per round,1m 7s,1m 7s,1m 6s
Time opponent flashed per round,2.01,2.06,1.98
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,20.6%,17.0%,24.5%
Traded deaths per round,0.14,0.12,0.15
Traded deaths percentage,21.4%,21.2%,21.7%
Utility damage per round,2.26,3.18,1.36
Utility kills per 100 rounds,0.34,0.31,0.37
Win% after opening kill,76.7%,74.2%,79.5%
