metric,Both,CT,T
1on1 win percentage,65.3%,60.9%,69.2%
Assisted kills percentage,17.9%,19.3%,16.5%
Assists per round,0.12,0.13,0.12
Attacks per round,3.00,3.28,2.72
Clutch points per round,0.03,0.02,0.03
Damage per kill,108,106,109
Damage per round,78.1,80.2,75.9
Damage per round win,101.7,101.2,102.3
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.53,0.39,0.66
Kills per round,0.72,0.75,0.69
Kills per round win,1.01,1.03,0.99
Last alive percentage,8.4%,7.9%,8.9%
Opening attempts,23.9%,21.5%,26.3%
Opening deaths per round,0.11,0.08,0.14
Opening deaths traded percentage,23.1%,15.5%,27.5%
Opening kills per round,0.12,0.13,0.12
Opening success,52.2%,60.7%,45.4%
Pistol round rating,1.10,0.98,1.22
Rating 2.0,1.12,1.13,1.10
Rounds with a kill,47.2%,49.7%,44.8%
Rounds with a multi-kill,18.2%,19.2%,17.3%
Rounds with sniper kills percentage,0.5%,0.6%,0.4%
Saved by teammate per round,0.09,0.06,0.13
Saved teammate per round,0.09,0.06,0.11
Saves per round loss,5.7%,10.7%,1.3%
Sniper kills per round,0.00,0.00,0.01
Sniper kills percentage,0.7%,0.6%,0.7%
Sniper multi-kill rounds,0.001,0.0004,0.001
Sniper opening kills per round,0.0002,0.0,0.0004
Support rounds,17.1%,20.8%,13.5%
Time alive per round,1m 7s,1m 9s,1m 5s
Time opponent flashed per round,2.26,2.44,2.16
Trade kills per round,0.13,0.10,0.16
Trade kills percentage,17.7%,12.9%,22.9%
Traded deaths per round,0.13,0.10,0.17
Traded deaths percentage,20.2%,16.9%,22.8%
Utility damage per round,4.44,5.76,3.14
Utility kills per 100 rounds,1.01,1.16,0.86
Win% after opening kill,76.2%,76.7%,75.6%
