metric,Both,CT,T
1on1 win percentage,66.7%,59.5%,77.8%
Assisted kills percentage,18.4%,19.0%,17.6%
Assists per round,0.10,0.12,0.08
Attacks per round,1.88,1.93,1.82
Clutch points per round,0.02,0.02,0.03
Damage per kill,101,100,102
Damage per round,72.6,79.5,65.9
Damage per round win,93.6,101.3,85.1
Flash assists per round,0.06,0.05,0.07
Flashes thrown per round,0.69,0.56,0.81
Kills per round,0.72,0.79,0.64
Kills per round win,0.96,1.06,0.86
Last alive percentage,12.0%,9.5%,14.4%
Opening attempts,20.8%,25.0%,16.7%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,26.0%,21.9%,29.8%
Opening kills per round,0.13,0.17,0.08
Opening success,60.1%,67.4%,49.5%
Pistol round rating,1.05,1.00,1.10
Rating 2.0,1.13,1.20,1.06
Rounds with a kill,48.9%,52.3%,45.6%
Rounds with a multi-kill,17.2%,20.2%,14.4%
Rounds with sniper kills percentage,31.2%,39.0%,23.5%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,8.2%,14.9%,2.5%
Sniper kills per round,0.40,0.52,0.29
Sniper kills percentage,56.3%,65.5%,45.2%
Sniper multi-kill rounds,0.10,0.14,0.07
Sniper opening kills per round,0.10,0.14,0.05
Support rounds,18.0%,18.8%,17.2%
Time alive per round,1m 9s,1m 8s,1m 10s
Time opponent flashed per round,2.35,2.60,2.19
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,20.5%,16.2%,25.6%
Traded deaths per round,0.12,0.12,0.12
Traded deaths percentage,19.8%,21.2%,18.7%
Utility damage per round,2.25,2.76,1.75
Utility kills per 100 rounds,0.30,0.24,0.36
Win% after opening kill,74.1%,71.4%,79.6%
