metric,Both,CT,T
1on1 win percentage,63.6%,57.1%,70.4%
Assisted kills percentage,17.5%,17.3%,17.7%
Assists per round,0.13,0.13,0.13
Attacks per round,2.41,2.38,2.43
Clutch points per round,0.03,0.02,0.04
Damage per kill,105,102,108
Damage per round,81.1,85.2,77.0
Damage per round win,104.2,106.8,101.0
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.57,0.40,0.75
Kills per round,0.77,0.83,0.71
Kills per round win,1.02,1.07,0.97
Last alive percentage,10.9%,8.0%,13.8%
Opening attempts,21.7%,22.5%,20.8%
Opening deaths per round,0.08,0.07,0.10
Opening deaths traded percentage,19.5%,19.3%,19.7%
Opening kills per round,0.13,0.16,0.11
Opening success,61.5%,70.2%,52.0%
Pistol round rating,1.29,1.37,1.21
Rating 2.0,1.22,1.29,1.16
Rounds with a kill,50.5%,53.5%,47.4%
Rounds with a multi-kill,19.6%,21.7%,17.5%
Rounds with sniper kills percentage,25.3%,36.4%,14.0%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.08,0.06,0.10
Saves per round loss,9.2%,17.3%,2.7%
Sniper kills per round,0.32,0.47,0.17
Sniper kills percentage,41.2%,55.9%,23.9%
Sniper multi-kill rounds,0.08,0.13,0.04
Sniper opening kills per round,0.08,0.12,0.03
Support rounds,17.3%,19.4%,15.1%
Time alive per round,1m 9s,1m 9s,1m 10s
Time opponent flashed per round,2.34,2.36,2.33
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,16.8%,13.6%,20.5%
Traded deaths per round,0.11,0.10,0.13
Traded deaths percentage,18.9%,19.0%,18.9%
Utility damage per round,4.70,6.12,3.28
Utility kills per 100 rounds,0.84,1.10,0.58
Win% after opening kill,76.9%,80.0%,72.4%
