metric,Both,CT,T
1on1 win percentage,64.1%,57.5%,71.1%
Assisted kills percentage,16.9%,18.0%,15.7%
Assists per round,0.16,0.19,0.12
Attacks per round,3.19,3.58,2.81
Clutch points per round,0.03,0.02,0.04
Damage per kill,115,118,112
Damage per round,81.2,85.3,77.1
Damage per round win,102.6,104.3,100.8
Flash assists per round,0.06,0.06,0.06
Flashes thrown per round,0.74,0.54,0.93
Kills per round,0.70,0.72,0.69
Kills per round win,0.95,0.96,0.94
Last alive percentage,8.9%,7.6%,10.3%
Opening attempts,21.7%,21.1%,22.3%
Opening deaths per round,0.11,0.09,0.12
Opening deaths traded percentage,26.4%,25.4%,27.1%
Opening kills per round,0.11,0.12,0.10
Opening success,51.6%,57.3%,46.3%
Pistol round rating,1.16,1.15,1.16
Rating 2.0,1.13,1.14,1.13
Rounds with a kill,47.6%,48.9%,46.3%
Rounds with a multi-kill,16.9%,17.6%,16.3%
Rounds with sniper kills percentage,1.4%,1.9%,0.8%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.11,0.08,0.13
Saves per round loss,4.4%,8.7%,0.7%
Sniper kills per round,0.02,0.03,0.01
Sniper kills percentage,2.6%,3.6%,1.6%
Sniper multi-kill rounds,0.004,0.006,0.002
Sniper opening kills per round,0.003,0.006,0.0007
Support rounds,18.2%,21.9%,14.5%
Time alive per round,1m 6s,1m 7s,1m 6s
Time opponent flashed per round,2.56,2.81,2.42
Trade kills per round,0.15,0.12,0.17
Trade kills percentage,20.7%,16.7%,24.8%
Traded deaths per round,0.15,0.13,0.17
Traded deaths percentage,22.4%,21.0%,23.7%
Utility damage per round,4.93,6.48,3.42
Utility kills per 100 rounds,0.63,0.81,0.46
Win% after opening kill,72.7%,73.1%,72.4%
