metric,Both,CT,T
1on1 win percentage,69.6%,56.0%,85.7%
Assisted kills percentage,19.2%,20.2%,18.1%
Assists per round,0.13,0.14,0.11
Attacks per round,2.87,3.10,2.66
Clutch points per round,0.03,0.02,0.03
Damage per kill,109,108,110
Damage per round,78.3,80.1,76.5
Damage per round win,98.5,99.5,97.4
Flash assists per round,0.03,0.03,0.02
Flashes thrown per round,0.53,0.36,0.67
Kills per round,0.72,0.74,0.69
Kills per round win,0.99,1.01,0.97
Last alive percentage,10.4%,9.1%,11.7%
Opening attempts,20.9%,19.5%,22.2%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,26.8%,23.6%,28.9%
Opening kills per round,0.11,0.11,0.10
Opening success,52.0%,57.8%,47.0%
Pistol round rating,1.15,1.11,1.19
Rating 2.0,1.13,1.11,1.14
Rounds with a kill,48.7%,50.9%,46.6%
Rounds with a multi-kill,17.5%,18.1%,16.9%
Rounds with sniper kills percentage,2.3%,3.9%,0.9%
Saved by teammate per round,0.10,0.09,0.10
Saved teammate per round,0.11,0.09,0.13
Saves per round loss,5.4%,9.3%,2.1%
Sniper kills per round,0.03,0.04,0.01
Sniper kills percentage,4.0%,6.0%,1.9%
Sniper multi-kill rounds,0.008,0.01,0.004
Sniper opening kills per round,0.006,0.01,0.0009
Support rounds,17.4%,20.2%,14.7%
Time alive per round,1m 6s,1m 6s,1m 5s
Time opponent flashed per round,2.17,2.23,2.13
Trade kills per round,0.14,0.12,0.17
Trade kills percentage,19.9%,15.8%,24.1%
Traded deaths per round,0.14,0.13,0.15
Traded deaths percentage,21.7%,21.2%,22.1%
Utility damage per round,3.46,4.71,2.24
Utility kills per 100 rounds,0.75,1.02,0.49
Win% after opening kill,70.9%,70.1%,71.7%
