metric,Both,CT,T
1on1 win percentage,47.6%,45.7%,50.0%
Assisted kills percentage,16.2%,16.6%,15.6%
Assists per round,0.11,0.12,0.09
Attacks per round,1.92,1.97,1.88
Clutch points per round,0.02,0.01,0.03
Damage per kill,104,103,104
Damage per round,76.8,82.2,71.3
Damage per round win,98.8,104.2,92.7
Flash assists per round,0.07,0.06,0.09
Flashes thrown per round,0.80,0.65,0.97
Kills per round,0.74,0.80,0.68
Kills per round win,1.00,1.05,0.93
Last alive percentage,11.5%,8.5%,14.6%
Opening attempts,21.7%,25.0%,18.4%
Opening deaths per round,0.09,0.09,0.08
Opening deaths traded percentage,18.0%,11.9%,24.9%
Opening kills per round,0.13,0.16,0.10
Opening success,60.4%,63.7%,55.7%
Pistol round rating,1.12,1.02,1.23
Rating 2.0,1.16,1.21,1.12
Rounds with a kill,48.5%,51.3%,45.6%
Rounds with a multi-kill,18.6%,20.3%,16.9%
Rounds with sniper kills percentage,31.2%,38.6%,23.6%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.09,0.06,0.11
Saves per round loss,7.9%,13.7%,2.5%
Sniper kills per round,0.42,0.52,0.32
Sniper kills percentage,56.6%,65.4%,46.1%
Sniper multi-kill rounds,0.11,0.14,0.08
Sniper opening kills per round,0.11,0.14,0.07
Support rounds,17.6%,19.6%,15.5%
Time alive per round,1m 7s,1m 6s,1m 7s
Time opponent flashed per round,2.58,2.83,2.42
Trade kills per round,0.13,0.11,0.16
Trade kills percentage,18.2%,13.8%,23.4%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,17.6%,17.0%,18.1%
Utility damage per round,2.10,2.45,1.75
Utility kills per 100 rounds,0.51,0.52,0.50
Win% after opening kill,77.7%,77.3%,78.4%
