metric,Both,CT,T
1on1 win percentage,57.3%,60.8%,52.6%
Assisted kills percentage,20.5%,20.4%,20.6%
Assists per round,0.12,0.12,0.12
Attacks per round,2.36,2.22,2.49
Clutch points per round,0.03,0.02,0.05
Damage per kill,108,104,112
Damage per round,74.6,79.1,70.2
Damage per round win,90.2,96.9,83.5
Flash assists per round,0.06,0.04,0.08
Flashes thrown per round,0.74,0.55,0.92
Kills per round,0.69,0.76,0.63
Kills per round win,0.90,1.00,0.80
Last alive percentage,13.3%,11.3%,15.3%
Opening attempts,14.5%,17.9%,11.1%
Opening deaths per round,0.06,0.06,0.05
Opening deaths traded percentage,23.1%,24.5%,21.5%
Opening kills per round,0.09,0.12,0.06
Opening success,60.3%,65.7%,51.9%
Pistol round rating,1.10,1.01,1.19
Rating 2.0,1.14,1.18,1.10
Rounds with a kill,47.4%,50.8%,44.1%
Rounds with a multi-kill,16.8%,19.1%,14.5%
Rounds with sniper kills percentage,21.4%,33.2%,9.7%
Saved by teammate per round,0.07,0.06,0.08
Saved teammate per round,0.09,0.07,0.12
Saves per round loss,11.7%,20.4%,3.2%
Sniper kills per round,0.28,0.45,0.12
Sniper kills percentage,40.9%,59.0%,19.4%
Sniper multi-kill rounds,0.07,0.12,0.03
Sniper opening kills per round,0.05,0.09,0.02
Support rounds,22.5%,23.3%,21.7%
Time alive per round,1m 9s,1m 8s,1m 11s
Time opponent flashed per round,2.51,2.67,2.41
Trade kills per round,0.14,0.11,0.16
Trade kills percentage,19.6%,15.0%,25.0%
Traded deaths per round,0.10,0.10,0.11
Traded deaths percentage,18.3%,18.5%,18.0%
Utility damage per round,4.52,5.00,4.06
Utility kills per 100 rounds,0.93,1.21,0.66
Win% after opening kill,74.8%,75.4%,73.6%
