metric,Both,CT,T
1on1 win percentage,50.8%,38.5%,75.0%
Assisted kills percentage,18.3%,20.0%,16.5%
Assists per round,0.15,0.18,0.11
Attacks per round,3.04,3.34,2.73
Clutch points per round,0.03,0.02,0.05
Damage per kill,112,114,110
Damage per round,79.0,82.2,75.7
Damage per round win,97.3,103.2,91.0
Flash assists per round,0.05,0.05,0.05
Flashes thrown per round,0.62,0.52,0.76
Kills per round,0.70,0.72,0.69
Kills per round win,0.94,0.99,0.89
Last alive percentage,13.8%,11.3%,16.5%
Opening attempts,16.9%,17.3%,16.4%
Opening deaths per round,0.08,0.07,0.08
Opening deaths traded percentage,25.0%,22.8%,27.0%
Opening kills per round,0.09,0.10,0.08
Opening success,53.6%,58.0%,48.7%
Pistol round rating,1.21,1.01,1.40
Rating 2.0,1.12,1.12,1.13
Rounds with a kill,47.0%,48.1%,45.9%
Rounds with a multi-kill,17.4%,17.6%,17.2%
Rounds with sniper kills percentage,1.0%,1.5%,0.4%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.12,0.08,0.15
Saves per round loss,9.6%,17.3%,1.5%
Sniper kills per round,0.01,0.02,0.00
Sniper kills percentage,1.7%,2.7%,0.7%
Sniper multi-kill rounds,0.003,0.004,0.002
Sniper opening kills per round,0.003,0.005,0.0005
Support rounds,21.3%,24.2%,18.2%
Time alive per round,1m 8s,1m 8s,1m 8s
Time opponent flashed per round,2.62,3.18,2.23
Trade kills per round,0.16,0.13,0.19
Trade kills percentage,22.8%,18.2%,27.8%
Traded deaths per round,0.11,0.11,0.12
Traded deaths percentage,18.1%,18.6%,17.7%
Utility damage per round,7.32,10.46,4.01
Utility kills per 100 rounds,1.55,1.95,1.13
Win% after opening kill,70.1%,67.5%,73.5%
