metric,Both,CT,T
1on1 win percentage,60.6%,54.1%,69.0%
Assisted kills percentage,21.4%,22.7%,19.9%
Assists per round,0.14,0.18,0.11
Attacks per round,3.13,3.56,2.68
Clutch points per round,0.03,0.02,0.03
Damage per kill,111,112,109
Damage per round,77.2,84.0,70.1
Damage per round win,94.8,101.7,87.0
Flash assists per round,0.05,0.05,0.06
Flashes thrown per round,0.72,0.48,0.99
Kills per round,0.70,0.75,0.64
Kills per round win,0.93,0.99,0.86
Last alive percentage,11.8%,9.7%,14.0%
Opening attempts,15.2%,16.3%,13.9%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,26.6%,22.2%,30.2%
Opening kills per round,0.08,0.10,0.05
Opening success,50.1%,59.4%,38.8%
Pistol round rating,1.12,1.04,1.19
Rating 2.0,1.08,1.14,1.03
Rounds with a kill,47.1%,49.9%,44.1%
Rounds with a multi-kill,17.2%,18.9%,15.4%
Rounds with sniper kills percentage,1.1%,1.5%,0.7%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.11,0.09,0.14
Saves per round loss,6.4%,11.1%,1.8%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.7%,2.1%,1.1%
Sniper multi-kill rounds,0.002,0.003,0.0004
Sniper opening kills per round,0.002,0.003,0.002
Support rounds,19.8%,22.1%,17.3%
Time alive per round,1m 11s,1m 10s,1m 12s
Time opponent flashed per round,2.53,2.76,2.42
Trade kills per round,0.15,0.14,0.17
Trade kills percentage,22.0%,18.1%,26.7%
Traded deaths per round,0.12,0.11,0.12
Traded deaths percentage,18.5%,19.0%,18.0%
Utility damage per round,5.70,7.91,3.41
Utility kills per 100 rounds,1.15,1.44,0.84
Win% after opening kill,71.3%,70.3%,73.0%
