metric,Both,CT,T
1on1 win percentage,62.3%,63.9%,60.6%
Assisted kills percentage,15.4%,17.2%,13.4%
Assists per round,0.10,0.11,0.08
Attacks per round,2.47,2.57,2.37
Clutch points per round,0.03,0.02,0.03
Damage per kill,104,102,107
Damage per round,81.2,82.4,80.0
Damage per round win,106.1,108.0,104.0
Flash assists per round,0.03,0.02,0.04
Flashes thrown per round,0.37,0.19,0.55
Kills per round,0.78,0.81,0.75
Kills per round win,1.07,1.11,1.03
Last alive percentage,14.0%,12.3%,15.7%
Opening attempts,18.0%,18.7%,17.3%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,13.9%,15.0%,12.9%
Opening kills per round,0.10,0.12,0.09
Opening success,56.9%,63.3%,49.9%
Pistol round rating,1.13,1.10,1.17
Rating 2.0,1.17,1.20,1.15
Rounds with a kill,51.6%,53.2%,50.0%
Rounds with a multi-kill,20.0%,20.8%,19.2%
Rounds with sniper kills percentage,4.1%,7.4%,0.8%
Saved by teammate per round,0.07,0.06,0.07
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,12.2%,20.1%,4.6%
Sniper kills per round,0.06,0.10,0.02
Sniper kills percentage,7.5%,12.4%,2.1%
Sniper multi-kill rounds,0.02,0.03,0.004
Sniper opening kills per round,0.01,0.02,0.002
Support rounds,17.3%,21.3%,13.3%
Time alive per round,1m 10s,1m 13s,1m 8s
Time opponent flashed per round,2.32,2.27,2.33
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,17.2%,15.1%,19.6%
Traded deaths per round,0.10,0.09,0.10
Traded deaths percentage,15.5%,15.9%,15.1%
Utility damage per round,2.87,3.04,2.69
Utility kills per 100 rounds,0.58,0.77,0.39
Win% after opening kill,70.4%,70.7%,70.0%
