metric,Both,CT,T
1on1 win percentage,58.2%,48.1%,69.6%
Assisted kills percentage,16.8%,18.3%,15.1%
Assists per round,0.09,0.10,0.08
Attacks per round,1.61,1.69,1.54
Clutch points per round,0.03,0.02,0.04
Damage per kill,101,99,103
Damage per round,73.9,79.6,68.6
Damage per round win,97.0,103.9,90.6
Flash assists per round,0.07,0.05,0.08
Flashes thrown per round,0.62,0.39,0.79
Kills per round,0.73,0.80,0.67
Kills per round win,1.00,1.10,0.91
Last alive percentage,12.1%,9.3%,14.6%
Opening attempts,24.1%,28.8%,19.9%
Opening deaths per round,0.09,0.09,0.09
Opening deaths traded percentage,14.8%,9.0%,20.5%
Opening kills per round,0.15,0.19,0.11
Opening success,62.5%,67.4%,56.1%
Pistol round rating,1.03,1.09,0.96
Rating 2.0,1.16,1.19,1.13
Rounds with a kill,49.0%,52.2%,46.1%
Rounds with a multi-kill,18.0%,20.2%,16.0%
Rounds with sniper kills percentage,41.6%,47.3%,36.4%
Saved by teammate per round,0.07,0.05,0.09
Saved teammate per round,0.08,0.07,0.10
Saves per round loss,9.8%,15.2%,4.9%
Sniper kills per round,0.55,0.62,0.48
Sniper kills percentage,74.7%,77.6%,71.4%
Sniper multi-kill rounds,0.15,0.17,0.12
Sniper opening kills per round,0.14,0.19,0.10
Support rounds,16.9%,18.1%,15.8%
Time alive per round,1m 8s,1m 6s,1m 10s
Time opponent flashed per round,2.57,3.00,2.36
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,16.6%,12.8%,20.8%
Traded deaths per round,0.10,0.08,0.11
Traded deaths percentage,15.9%,14.2%,17.4%
Utility damage per round,3.13,4.19,2.16
Utility kills per 100 rounds,0.72,0.96,0.49
Win% after opening kill,77.8%,75.9%,80.9%
