metric,Both,CT,T
1on1 win percentage,59.8%,54.8%,64.0%
Assisted kills percentage,16.7%,18.0%,15.1%
Assists per round,0.13,0.17,0.09
Attacks per round,3.09,3.52,2.66
Clutch points per round,0.03,0.02,0.04
Damage per kill,114,113,114
Damage per round,82.3,89.6,74.9
Damage per round win,103.7,113.6,92.3
Flash assists per round,0.04,0.02,0.06
Flashes thrown per round,0.54,0.36,0.74
Kills per round,0.72,0.79,0.66
Kills per round win,0.97,1.06,0.86
Last alive percentage,15.8%,11.5%,20.2%
Opening attempts,20.0%,22.3%,17.6%
Opening deaths per round,0.08,0.08,0.09
Opening deaths traded percentage,18.4%,16.2%,20.4%
Opening kills per round,0.12,0.15,0.09
Opening success,58.5%,65.5%,49.6%
Pistol round rating,1.07,1.07,1.08
Rating 2.0,1.17,1.26,1.08
Rounds with a kill,48.9%,51.8%,45.9%
Rounds with a multi-kill,17.5%,19.5%,15.5%
Rounds with sniper kills percentage,0.7%,0.8%,0.5%
Saved by teammate per round,0.06,0.05,0.08
Saved teammate per round,0.09,0.07,0.10
Saves per round loss,12.5%,21.8%,4.3%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.1%,1.4%,0.8%
Sniper multi-kill rounds,0.001,0.003,0.0
Sniper opening kills per round,0.001,0.002,0.0
Support rounds,19.8%,23.6%,15.9%
Time alive per round,1m 10s,1m 10s,1m 10s
Time opponent flashed per round,2.46,3.00,2.20
Trade kills per round,0.13,0.12,0.15
Trade kills percentage,18.5%,15.1%,22.6%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,16.0%,16.5%,15.5%
Utility damage per round,7.05,10.21,3.85
Utility kills per 100 rounds,1.46,2.33,0.59
Win% after opening kill,72.5%,72.6%,72.1%
