metric,Both,CT,T
1on1 win percentage,65.5%,63.3%,68.0%
Assisted kills percentage,17.7%,18.8%,16.4%
Assists per round,0.10,0.11,0.08
Attacks per round,1.93,1.94,1.92
Clutch points per round,0.02,0.02,0.03
Damage per kill,103,101,107
Damage per round,73.8,80.4,67.3
Damage per round win,96.6,101.9,90.0
Flash assists per round,0.06,0.05,0.07
Flashes thrown per round,0.93,0.71,1.15
Kills per round,0.71,0.80,0.63
Kills per round win,0.97,1.06,0.87
Last alive percentage,14.4%,9.6%,19.1%
Opening attempts,13.7%,16.7%,10.8%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,29.6%,26.2%,33.0%
Opening kills per round,0.09,0.12,0.06
Opening success,63.6%,69.5%,54.5%
Pistol round rating,1.07,1.13,1.01
Rating 2.0,1.10,1.21,0.99
Rounds with a kill,48.0%,52.7%,43.3%
Rounds with a multi-kill,17.7%,20.1%,15.2%
Rounds with sniper kills percentage,28.2%,37.1%,19.4%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.10,0.07,0.12
Saves per round loss,10.6%,21.3%,2.2%
Sniper kills per round,0.37,0.50,0.25
Sniper kills percentage,52.3%,62.3%,39.8%
Sniper multi-kill rounds,0.10,0.13,0.06
Sniper opening kills per round,0.07,0.11,0.04
Support rounds,18.2%,21.3%,15.2%
Time alive per round,1m 14s,1m 15s,1m 14s
Time opponent flashed per round,2.16,2.30,2.08
Trade kills per round,0.15,0.13,0.18
Trade kills percentage,21.5%,16.2%,28.2%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,17.8%,19.2%,16.6%
Utility damage per round,3.33,4.17,2.51
Utility kills per 100 rounds,0.76,0.69,0.83
Win% after opening kill,76.6%,75.3%,79.2%
