metric,Both,CT,T
1on1 win percentage,67.3%,65.5%,69.6%
Assisted kills percentage,17.6%,19.4%,15.4%
Assists per round,0.14,0.16,0.12
Attacks per round,3.00,3.33,2.65
Clutch points per round,0.02,0.01,0.03
Damage per kill,113,112,114
Damage per round,80.1,85.8,74.1
Damage per round win,101.8,108.9,93.8
Flash assists per round,0.05,0.05,0.05
Flashes thrown per round,0.80,0.54,1.11
Kills per round,0.71,0.77,0.65
Kills per round win,0.96,1.04,0.87
Last alive percentage,7.2%,5.2%,9.4%
Opening attempts,23.1%,22.4%,23.9%
Opening deaths per round,0.11,0.09,0.14
Opening deaths traded percentage,20.1%,20.2%,20.1%
Opening kills per round,0.12,0.14,0.10
Opening success,52.3%,61.4%,43.4%
Pistol round rating,1.20,1.24,1.16
Rating 2.0,1.14,1.19,1.08
Rounds with a kill,48.2%,51.0%,45.3%
Rounds with a multi-kill,17.9%,20.1%,15.5%
Rounds with sniper kills percentage,0.2%,0.3%,0.1%
Saved by teammate per round,0.09,0.08,0.10
Saved teammate per round,0.09,0.09,0.10
Saves per round loss,9.7%,16.5%,3.0%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.2%,0.3%,0.1%
Sniper multi-kill rounds,0.0008,0.001,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,18.3%,21.5%,14.9%
Time alive per round,1m 11s,1m 11s,1m 11s
Time opponent flashed per round,2.34,2.53,2.24
Trade kills per round,0.13,0.13,0.14
Trade kills percentage,18.9%,17.2%,21.0%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,20.3%,19.3%,21.2%
Utility damage per round,4.68,7.13,2.12
Utility kills per 100 rounds,0.78,1.22,0.31
Win% after opening kill,75.9%,75.5%,76.5%
