metric,Both,CT,T
1on1 win percentage,72.2%,71.4%,73.3%
Assisted kills percentage,16.8%,17.8%,15.5%
Assists per round,0.14,0.18,0.11
Attacks per round,3.00,3.42,2.56
Clutch points per round,0.02,0.01,0.02
Damage per kill,112,113,110
Damage per round,82.9,90.2,75.5
Damage per round win,105.9,114.4,96.5
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.75,0.58,0.94
Kills per round,0.74,0.80,0.69
Kills per round win,1.01,1.09,0.92
Last alive percentage,8.3%,6.6%,9.9%
Opening attempts,25.1%,24.5%,25.6%
Opening deaths per round,0.12,0.10,0.14
Opening deaths traded percentage,19.7%,15.9%,22.6%
Opening kills per round,0.13,0.15,0.12
Opening success,53.1%,59.5%,46.9%
Pistol round rating,1.30,1.06,1.54
Rating 2.0,1.14,1.17,1.11
Rounds with a kill,50.0%,52.9%,47.1%
Rounds with a multi-kill,18.7%,20.5%,16.8%
Rounds with sniper kills percentage,0.5%,0.6%,0.3%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.12,0.10,0.14
Saves per round loss,5.1%,9.1%,1.4%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.8%,1.0%,0.5%
Sniper multi-kill rounds,0.001,0.001,0.0005
Sniper opening kills per round,0.0002,0.0005,0.0
Support rounds,15.9%,17.3%,14.4%
Time alive per round,1m 8s,1m 6s,1m 10s
Time opponent flashed per round,2.26,2.93,1.85
Trade kills per round,0.16,0.13,0.18
Trade kills percentage,21.3%,16.8%,26.6%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,19.0%,16.8%,21.1%
Utility damage per round,4.22,6.35,2.06
Utility kills per 100 rounds,0.70,1.09,0.30
Win% after opening kill,74.5%,73.9%,75.2%
