metric,Both,CT,T
1on1 win percentage,59.6%,60.0%,59.4%
Assisted kills percentage,17.8%,18.8%,16.7%
Assists per round,0.15,0.19,0.12
Attacks per round,3.14,3.57,2.73
Clutch points per round,0.02,0.01,0.03
Damage per kill,111,112,111
Damage per round,82.3,88.3,76.6
Damage per round win,104.2,107.9,100.4
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.57,0.49,0.62
Kills per round,0.74,0.79,0.69
Kills per round win,1.00,1.03,0.97
Last alive percentage,7.6%,5.8%,9.3%
Opening attempts,22.5%,22.2%,22.8%
Opening deaths per round,0.10,0.08,0.12
Opening deaths traded percentage,19.4%,19.7%,19.2%
Opening kills per round,0.12,0.14,0.11
Opening success,54.0%,62.6%,46.0%
Pistol round rating,1.17,1.19,1.15
Rating 2.0,1.18,1.23,1.14
Rounds with a kill,49.5%,52.2%,47.0%
Rounds with a multi-kill,18.5%,20.2%,16.9%
Rounds with sniper kills percentage,0.5%,0.5%,0.4%
Saved by teammate per round,0.08,0.08,0.08
Saved teammate per round,0.08,0.07,0.09
Saves per round loss,9.0%,13.8%,4.9%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,0.9%,0.9%,0.9%
Sniper multi-kill rounds,0.001,0.001,0.001
Sniper opening kills per round,0.0008,0.001,0.0003
Support rounds,18.8%,22.2%,15.5%
Time alive per round,1m 12s,1m 11s,1m 12s
Time opponent flashed per round,2.37,2.87,1.98
Trade kills per round,0.12,0.11,0.13
Trade kills percentage,16.6%,14.4%,18.9%
Traded deaths per round,0.12,0.11,0.12
Traded deaths percentage,18.8%,19.4%,18.3%
Utility damage per round,6.41,8.59,4.36
Utility kills per 100 rounds,1.11,1.32,0.92
Win% after opening kill,73.3%,74.2%,72.1%
