metric,Both,CT,T
1on1 win percentage,64.5%,50.0%,81.4%
Assisted kills percentage,17.0%,17.3%,16.7%
Assists per round,0.09,0.10,0.07
Attacks per round,1.86,1.96,1.77
Clutch points per round,0.04,0.02,0.05
Damage per kill,101,100,102
Damage per round,71.9,79.8,64.2
Damage per round win,91.2,103.2,79.1
Flash assists per round,0.10,0.07,0.13
Flashes thrown per round,0.92,0.57,1.24
Kills per round,0.71,0.80,0.63
Kills per round win,0.93,1.06,0.79
Last alive percentage,16.3%,12.4%,20.0%
Opening attempts,15.8%,20.4%,11.4%
Opening deaths per round,0.05,0.05,0.04
Opening deaths traded percentage,13.6%,15.0%,11.8%
Opening kills per round,0.11,0.15,0.07
Opening success,69.7%,73.2%,63.6%
Pistol round rating,1.07,1.15,0.99
Rating 2.0,1.17,1.26,1.09
Rounds with a kill,49.2%,54.3%,44.3%
Rounds with a multi-kill,16.8%,19.3%,14.4%
Rounds with sniper kills percentage,39.0%,48.4%,29.9%
Saved by teammate per round,0.07,0.06,0.07
Saved teammate per round,0.09,0.07,0.10
Saves per round loss,19.1%,26.9%,11.8%
Sniper kills per round,0.49,0.61,0.38
Sniper kills percentage,69.5%,76.9%,60.3%
Sniper multi-kill rounds,0.13,0.17,0.10
Sniper opening kills per round,0.10,0.15,0.06
Support rounds,21.0%,21.2%,20.8%
Time alive per round,1m 24s,1m 20s,1m 28s
Time opponent flashed per round,2.53,2.78,2.41
Trade kills per round,0.13,0.11,0.15
Trade kills percentage,18.8%,14.1%,24.5%
Traded deaths per round,0.08,0.07,0.08
Traded deaths percentage,14.8%,15.2%,14.5%
Utility damage per round,4.62,6.29,3.00
Utility kills per 100 rounds,0.81,1.21,0.42
Win% after opening kill,73.7%,73.6%,74.0%
