metric,Both,CT,T
1on1 win percentage,62.0%,63.4%,60.0%
Assisted kills percentage,20.2%,20.8%,19.5%
Assists per round,0.14,0.15,0.13
Attacks per round,3.24,3.43,3.05
Clutch points per round,0.03,0.02,0.04
Damage per kill,112,112,113
Damage per round,80.1,83.9,76.3
Damage per round win,99.6,103.3,95.5
Flash assists per round,0.06,0.06,0.07
Flashes thrown per round,0.66,0.51,0.83
Kills per round,0.71,0.75,0.67
Kills per round win,0.95,1.00,0.91
Last alive percentage,14.9%,12.7%,17.2%
Opening attempts,12.2%,13.0%,11.4%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,23.7%,23.5%,23.9%
Opening kills per round,0.07,0.08,0.06
Opening success,57.7%,62.7%,51.8%
Pistol round rating,0.99,0.86,1.13
Rating 2.0,1.14,1.15,1.13
Rounds with a kill,48.0%,49.0%,47.0%
Rounds with a multi-kill,17.4%,19.2%,15.6%
Rounds with sniper kills percentage,1.8%,2.3%,1.3%
Saved by teammate per round,0.09,0.06,0.11
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,9.4%,14.8%,4.2%
Sniper kills per round,0.02,0.03,0.02
Sniper kills percentage,3.3%,3.9%,2.5%
Sniper multi-kill rounds,0.005,0.006,0.004
Sniper opening kills per round,0.002,0.003,0.0005
Support rounds,20.8%,23.4%,18.1%
Time alive per round,1m 16s,1m 13s,1m 19s
Time opponent flashed per round,2.55,2.82,2.38
Trade kills per round,0.16,0.14,0.17
Trade kills percentage,22.1%,18.7%,25.9%
Traded deaths per round,0.11,0.10,0.13
Traded deaths percentage,18.6%,17.5%,19.6%
Utility damage per round,5.99,6.89,5.07
Utility kills per 100 rounds,1.05,1.19,0.91
Win% after opening kill,73.8%,72.7%,75.2%
