metric,Both,CT,T
1on1 win percentage,60.7%,53.3%,69.2%
Assisted kills percentage,15.8%,15.4%,16.3%
Assists per round,0.14,0.16,0.12
Attacks per round,3.14,3.52,2.78
Clutch points per round,0.02,0.01,0.02
Damage per kill,113,112,113
Damage per round,84.2,92.8,76.2
Damage per round win,106.9,110.0,103.4
Flash assists per round,0.03,0.02,0.03
Flashes thrown per round,0.65,0.50,0.75
Kills per round,0.75,0.83,0.67
Kills per round win,1.02,1.05,0.97
Last alive percentage,9.0%,7.7%,10.3%
Opening attempts,22.5%,25.2%,19.9%
Opening deaths per round,0.10,0.08,0.11
Opening deaths traded percentage,20.9%,17.7%,23.2%
Opening kills per round,0.13,0.17,0.09
Opening success,56.7%,66.7%,45.0%
Pistol round rating,1.21,1.27,1.15
Rating 2.0,1.21,1.32,1.10
Rounds with a kill,49.0%,53.6%,44.7%
Rounds with a multi-kill,19.4%,21.9%,17.0%
Rounds with sniper kills percentage,1.6%,2.3%,0.9%
Saved by teammate per round,0.07,0.05,0.09
Saved teammate per round,0.07,0.06,0.09
Saves per round loss,11.3%,18.7%,5.8%
Sniper kills per round,0.02,0.03,0.01
Sniper kills percentage,2.5%,3.4%,1.5%
Sniper multi-kill rounds,0.003,0.006,0.001
Sniper opening kills per round,0.003,0.006,0.0
Support rounds,20.1%,23.6%,16.8%
Time alive per round,1m 13s,1m 12s,1m 14s
Time opponent flashed per round,2.10,2.10,2.10
Trade kills per round,0.10,0.08,0.12
Trade kills percentage,13.8%,10.0%,18.2%
Traded deaths per round,0.12,0.10,0.15
Traded deaths percentage,19.8%,18.0%,21.1%
Utility damage per round,5.92,7.58,4.37
Utility kills per 100 rounds,1.00,1.03,0.97
Win% after opening kill,73.3%,71.9%,75.7%
