metric,Both,CT,T
1on1 win percentage,64.9%,60.9%,71.4%
Assisted kills percentage,17.7%,19.8%,14.9%
Assists per round,0.13,0.15,0.10
Attacks per round,3.05,3.57,2.51
Clutch points per round,0.02,0.01,0.03
Damage per kill,109,107,111
Damage per round,79.1,87.3,70.7
Damage per round win,100.5,104.4,95.5
Flash assists per round,0.03,0.04,0.03
Flashes thrown per round,0.70,0.52,0.90
Kills per round,0.73,0.82,0.64
Kills per round win,0.98,1.04,0.90
Last alive percentage,8.7%,6.3%,11.2%
Opening attempts,18.0%,18.4%,17.5%
Opening deaths per round,0.08,0.07,0.09
Opening deaths traded percentage,20.8%,22.1%,19.8%
Opening kills per round,0.10,0.11,0.08
Opening success,53.7%,60.0%,46.8%
Pistol round rating,1.25,1.37,1.12
Rating 2.0,1.13,1.22,1.02
Rounds with a kill,48.1%,52.6%,43.5%
Rounds with a multi-kill,18.4%,21.0%,15.7%
Rounds with sniper kills percentage,0.3%,0.3%,0.4%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.09,0.08,0.11
Saves per round loss,7.3%,13.9%,2.0%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.6%,0.5%,0.7%
Sniper multi-kill rounds,0.0005,0.001,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,18.6%,21.7%,15.3%
Time alive per round,1m 12s,1m 11s,1m 12s
Time opponent flashed per round,2.02,2.45,1.77
Trade kills per round,0.14,0.13,0.14
Trade kills percentage,18.9%,16.0%,22.7%
Traded deaths per round,0.13,0.12,0.14
Traded deaths percentage,19.9%,20.5%,19.3%
Utility damage per round,6.29,9.23,3.26
Utility kills per 100 rounds,1.40,2.16,0.61
Win% after opening kill,76.1%,74.5%,78.2%
