metric,Both,CT,T
1on1 win percentage,52.9%,52.8%,53.3%
Assisted kills percentage,17.0%,18.2%,15.4%
Assists per round,0.08,0.10,0.07
Attacks per round,1.79,1.81,1.78
Clutch points per round,0.03,0.02,0.04
Damage per kill,99,97,102
Damage per round,73.4,79.5,67.1
Damage per round win,96.4,100.5,91.2
Flash assists per round,0.09,0.08,0.10
Flashes thrown per round,0.80,0.62,1.01
Kills per round,0.74,0.82,0.66
Kills per round win,1.00,1.07,0.92
Last alive percentage,11.7%,8.6%,14.8%
Opening attempts,19.9%,22.4%,17.3%
Opening deaths per round,0.07,0.06,0.08
Opening deaths traded percentage,22.3%,22.3%,22.3%
Opening kills per round,0.13,0.16,0.09
Opening success,64.4%,73.2%,52.6%
Pistol round rating,1.24,1.32,1.15
Rating 2.0,1.17,1.28,1.06
Rounds with a kill,49.9%,54.6%,45.1%
Rounds with a multi-kill,18.4%,21.4%,15.3%
Rounds with sniper kills percentage,35.2%,43.3%,26.8%
Saved by teammate per round,0.08,0.08,0.08
Saved teammate per round,0.10,0.07,0.13
Saves per round loss,9.4%,17.4%,3.0%
Sniper kills per round,0.43,0.55,0.32
Sniper kills percentage,58.5%,66.6%,48.1%
Sniper multi-kill rounds,0.12,0.16,0.08
Sniper opening kills per round,0.10,0.13,0.07
Support rounds,17.9%,20.6%,15.1%
Time alive per round,1m 15s,1m 14s,1m 16s
Time opponent flashed per round,2.59,2.91,2.38
Trade kills per round,0.15,0.12,0.18
Trade kills percentage,20.2%,15.0%,26.9%
Traded deaths per round,0.11,0.11,0.11
Traded deaths percentage,18.5%,20.7%,16.8%
Utility damage per round,2.60,2.84,2.35
Utility kills per 100 rounds,0.52,0.38,0.66
Win% after opening kill,76.8%,77.1%,76.2%
