metric,Both,CT,T
1on1 win percentage,64.7%,66.7%,63.2%
Assisted kills percentage,15.3%,15.8%,14.6%
Assists per round,0.14,0.18,0.09
Attacks per round,2.90,3.49,2.27
Clutch points per round,0.01,0.01,0.01
Damage per kill,115,115,115
Damage per round,79.2,92.2,65.7
Damage per round win,103.6,113.2,91.0
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.61,0.49,0.75
Kills per round,0.69,0.80,0.57
Kills per round win,0.94,1.03,0.84
Last alive percentage,6.3%,5.7%,6.9%
Opening attempts,27.2%,27.8%,26.7%
Opening deaths per round,0.13,0.10,0.16
Opening deaths traded percentage,19.6%,15.9%,22.1%
Opening kills per round,0.14,0.18,0.11
Opening success,52.4%,63.7%,40.1%
Pistol round rating,1.12,1.04,1.20
Rating 2.0,1.09,1.25,0.92
Rounds with a kill,46.6%,52.8%,40.2%
Rounds with a multi-kill,16.2%,19.7%,12.6%
Rounds with sniper kills percentage,0.1%,0.1%,0.1%
Saved by teammate per round,0.09,0.07,0.11
Saved teammate per round,0.08,0.07,0.09
Saves per round loss,6.1%,11.7%,1.5%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.1%,0.1%,0.2%
Sniper multi-kill rounds,0.0,0.0,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,16.5%,19.9%,13.0%
Time alive per round,1m 4s,1m 5s,1m 4s
Time opponent flashed per round,2.06,2.41,1.83
Trade kills per round,0.11,0.10,0.11
Trade kills percentage,15.9%,13.0%,20.1%
Traded deaths per round,0.13,0.11,0.15
Traded deaths percentage,19.5%,18.4%,20.5%
Utility damage per round,5.81,8.98,2.51
Utility kills per 100 rounds,0.66,0.89,0.42
Win% after opening kill,75.4%,76.8%,73.0%
