metric,Both,CT,T
1on1 win percentage,65.3%,54.2%,76.0%
Assisted kills percentage,18.3%,18.9%,17.6%
Assists per round,0.10,0.11,0.09
Attacks per round,2.16,2.24,2.08
Clutch points per round,0.03,0.02,0.05
Damage per kill,100,99,102
Damage per round,79.2,84.9,73.9
Damage per round win,99.0,103.9,93.5
Flash assists per round,0.07,0.06,0.08
Flashes thrown per round,0.66,0.48,0.79
Kills per round,0.79,0.86,0.72
Kills per round win,1.03,1.08,0.97
Last alive percentage,14.1%,9.7%,18.2%
Opening attempts,16.6%,20.6%,12.8%
Opening deaths per round,0.05,0.05,0.05
Opening deaths traded percentage,21.1%,18.5%,23.5%
Opening kills per round,0.11,0.15,0.08
Opening success,68.7%,74.6%,59.7%
Pistol round rating,1.32,1.36,1.27
Rating 2.0,1.28,1.35,1.21
Rounds with a kill,52.0%,55.9%,48.2%
Rounds with a multi-kill,20.0%,22.1%,18.0%
Rounds with sniper kills percentage,32.4%,38.4%,26.7%
Saved by teammate per round,0.07,0.06,0.07
Saved teammate per round,0.10,0.07,0.12
Saves per round loss,18.2%,24.1%,13.9%
Sniper kills per round,0.42,0.52,0.34
Sniper kills percentage,53.9%,60.5%,46.5%
Sniper multi-kill rounds,0.11,0.15,0.08
Sniper opening kills per round,0.08,0.11,0.05
Support rounds,21.6%,23.1%,20.2%
Time alive per round,1m 20s,1m 18s,1m 22s
Time opponent flashed per round,2.61,2.89,2.44
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,20.4%,16.3%,25.1%
Traded deaths per round,0.09,0.08,0.09
Traded deaths percentage,17.0%,17.8%,16.4%
Utility damage per round,4.05,5.19,2.98
Utility kills per 100 rounds,1.00,1.29,0.73
Win% after opening kill,78.6%,79.0%,77.8%
