metric,Both,CT,T
1on1 win percentage,60.9%,54.2%,68.2%
Assisted kills percentage,19.3%,19.6%,19.0%
Assists per round,0.16,0.18,0.13
Attacks per round,3.20,3.58,2.82
Clutch points per round,0.02,0.01,0.02
Damage per kill,114,113,115
Damage per round,80.9,87.9,73.7
Damage per round win,101.7,105.6,96.7
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.73,0.59,0.89
Kills per round,0.71,0.78,0.64
Kills per round win,0.96,1.00,0.90
Last alive percentage,11.2%,7.7%,14.9%
Opening attempts,15.9%,17.1%,14.7%
Opening deaths per round,0.07,0.06,0.08
Opening deaths traded percentage,24.7%,21.0%,27.7%
Opening kills per round,0.09,0.11,0.07
Opening success,56.9%,63.9%,48.5%
Pistol round rating,1.23,1.29,1.18
Rating 2.0,1.13,1.21,1.05
Rounds with a kill,48.9%,52.2%,45.5%
Rounds with a multi-kill,16.7%,18.9%,14.4%
Rounds with sniper kills percentage,0.4%,0.4%,0.4%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.10,0.09,0.12
Saves per round loss,9.3%,15.5%,4.2%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.1%,0.9%,1.3%
Sniper multi-kill rounds,0.002,0.002,0.002
Sniper opening kills per round,0.0003,0.0006,0.0
Support rounds,19.0%,22.0%,16.0%
Time alive per round,1m 8s,1m 11s,1m 5s
Time opponent flashed per round,2.25,2.43,2.13
Trade kills per round,0.14,0.12,0.16
Trade kills percentage,19.5%,15.3%,24.7%
Traded deaths per round,0.11,0.10,0.12
Traded deaths percentage,17.8%,18.5%,17.2%
Utility damage per round,5.37,6.72,3.99
Utility kills per 100 rounds,1.06,1.36,0.76
Win% after opening kill,73.7%,72.9%,75.0%
