metric,Both,CT,T
1on1 win percentage,57.7%,53.1%,65.0%
Assisted kills percentage,19.9%,20.2%,19.4%
Assists per round,0.12,0.15,0.09
Attacks per round,2.19,2.27,2.10
Clutch points per round,0.04,0.02,0.07
Damage per kill,108,107,109
Damage per round,71.1,77.4,64.4
Damage per round win,89.4,96.9,80.9
Flash assists per round,0.11,0.09,0.14
Flashes thrown per round,1.13,0.87,1.45
Kills per round,0.66,0.73,0.59
Kills per round win,0.87,0.95,0.78
Last alive percentage,16.2%,12.4%,20.1%
Opening attempts,19.2%,23.2%,15.1%
Opening deaths per round,0.08,0.08,0.08
Opening deaths traded percentage,17.2%,14.2%,20.5%
Opening kills per round,0.11,0.15,0.07
Opening success,57.9%,64.1%,48.0%
Pistol round rating,0.96,0.95,0.97
Rating 2.0,1.09,1.15,1.03
Rounds with a kill,45.9%,49.7%,41.9%
Rounds with a multi-kill,15.5%,17.2%,13.7%
Rounds with sniper kills percentage,25.6%,32.1%,18.8%
Saved by teammate per round,0.08,0.08,0.09
Saved teammate per round,0.09,0.06,0.12
Saves per round loss,14.5%,21.7%,7.7%
Sniper kills per round,0.33,0.42,0.23
Sniper kills percentage,50.0%,58.0%,39.8%
Sniper multi-kill rounds,0.08,0.11,0.06
Sniper opening kills per round,0.06,0.09,0.03
Support rounds,21.1%,22.6%,19.5%
Time alive per round,1m 14s,1m 14s,1m 15s
Time opponent flashed per round,2.48,2.75,2.31
Trade kills per round,0.12,0.09,0.14
Trade kills percentage,17.5%,13.1%,23.2%
Traded deaths per round,0.10,0.10,0.10
Traded deaths percentage,17.3%,18.4%,16.3%
Utility damage per round,7.32,9.58,4.94
Utility kills per 100 rounds,1.33,1.41,1.24
Win% after opening kill,76.2%,76.6%,75.2%
