metric,Both,CT,T
1on1 win percentage,64.9%,54.2%,84.6%
Assisted kills percentage,18.5%,18.9%,18.1%
Assists per round,0.16,0.19,0.13
Attacks per round,3.06,3.37,2.74
Clutch points per round,0.03,0.02,0.04
Damage per kill,113,113,113
Damage per round,82.6,89.0,76.2
Damage per round win,103.1,110.5,95.5
Flash assists per round,0.04,0.04,0.03
Flashes thrown per round,0.52,0.47,0.57
Kills per round,0.73,0.79,0.68
Kills per round win,0.97,1.04,0.90
Last alive percentage,12.0%,10.0%,14.0%
Opening attempts,16.0%,18.1%,13.9%
Opening deaths per round,0.07,0.07,0.07
Opening deaths traded percentage,19.4%,16.0%,22.8%
Opening kills per round,0.09,0.11,0.07
Opening success,56.4%,61.1%,50.4%
Pistol round rating,1.38,1.43,1.32
Rating 2.0,1.20,1.25,1.15
Rounds with a kill,48.0%,50.8%,45.2%
Rounds with a multi-kill,18.9%,21.7%,16.2%
Rounds with sniper kills percentage,0.3%,0.4%,0.2%
Saved by teammate per round,0.07,0.06,0.09
Saved teammate per round,0.10,0.08,0.12
Saves per round loss,13.5%,20.8%,6.6%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.5%,0.3%
Sniper multi-kill rounds,0.001,0.001,0.001
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,23.7%,26.3%,21.2%
Time alive per round,1m 12s,1m 10s,1m 13s
Time opponent flashed per round,2.42,2.77,2.14
Trade kills per round,0.15,0.13,0.16
Trade kills percentage,20.1%,16.7%,24.0%
Traded deaths per round,0.09,0.09,0.10
Traded deaths percentage,16.2%,16.0%,16.4%
Utility damage per round,6.63,8.61,4.68
Utility kills per 100 rounds,1.10,1.19,1.01
Win% after opening kill,75.7%,71.4%,82.4%
