metric,Both,CT,T
1on1 win percentage,57.6%,38.5%,70.0%
Assisted kills percentage,18.9%,21.3%,16.1%
Assists per round,0.13,0.16,0.10
Attacks per round,2.60,2.88,2.31
Clutch points per round,0.02,0.01,0.04
Damage per kill,107,106,108
Damage per round,73.6,76.2,70.8
Damage per round win,93.6,92.9,94.3
Flash assists per round,0.04,0.04,0.05
Flashes thrown per round,0.63,0.51,0.77
Kills per round,0.69,0.72,0.66
Kills per round win,0.93,0.94,0.92
Last alive percentage,8.9%,6.7%,11.3%
Opening attempts,21.9%,20.8%,23.0%
Opening deaths per round,0.11,0.09,0.12
Opening deaths traded percentage,30.7%,31.1%,30.5%
Opening kills per round,0.11,0.12,0.11
Opening success,51.5%,57.3%,45.9%
Pistol round rating,1.07,1.03,1.10
Rating 2.0,1.10,1.11,1.09
Rounds with a kill,46.9%,48.2%,45.6%
Rounds with a multi-kill,16.7%,18.2%,15.2%
Rounds with sniper kills percentage,0.5%,0.3%,0.6%
Saved by teammate per round,0.11,0.09,0.13
Saved teammate per round,0.11,0.09,0.12
Saves per round loss,7.3%,12.3%,2.6%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.5%,0.4%,0.7%
Sniper multi-kill rounds,0.0,0.0,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,19.7%,24.4%,14.8%
Time alive per round,1m 9s,1m 10s,1m 8s
Time opponent flashed per round,2.51,2.65,2.42
Trade kills per round,0.14,0.13,0.16
Trade kills percentage,20.7%,17.7%,24.1%
Traded deaths per round,0.14,0.12,0.16
Traded deaths percentage,21.9%,20.2%,23.4%
Utility damage per round,4.40,6.49,2.23
Utility kills per 100 rounds,0.79,1.14,0.44
Win% after opening kill,72.6%,68.8%,77.1%
