metric,Both,CT,T
1on1 win percentage,52.3%,51.6%,52.9%
Assisted kills percentage,20.3%,20.9%,19.5%
Assists per round,0.15,0.17,0.14
Attacks per round,3.16,3.39,2.93
Clutch points per round,0.03,0.02,0.04
Damage per kill,112,110,115
Damage per round,80.4,85.1,75.7
Damage per round win,100.9,106.3,94.9
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.72,0.57,0.85
Kills per round,0.72,0.78,0.66
Kills per round win,0.97,1.04,0.88
Last alive percentage,14.9%,11.6%,18.0%
Opening attempts,16.1%,16.0%,16.3%
Opening deaths per round,0.06,0.05,0.08
Opening deaths traded percentage,22.8%,22.6%,22.9%
Opening kills per round,0.10,0.11,0.08
Opening success,60.5%,69.7%,51.7%
Pistol round rating,1.08,1.29,0.88
Rating 2.0,1.18,1.24,1.13
Rounds with a kill,48.5%,51.5%,45.7%
Rounds with a multi-kill,17.6%,20.1%,15.2%
Rounds with sniper kills percentage,0.7%,0.7%,0.7%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.09,0.08,0.10
Saves per round loss,13.9%,21.2%,7.7%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.3%,1.4%,1.1%
Sniper multi-kill rounds,0.002,0.002,0.001
Sniper opening kills per round,0.0003,0.0,0.0006
Support rounds,22.9%,25.6%,20.3%
Time alive per round,1m 15s,1m 16s,1m 14s
Time opponent flashed per round,2.40,2.35,2.44
Trade kills per round,0.14,0.14,0.15
Trade kills percentage,19.7%,17.4%,22.2%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,17.5%,18.0%,17.1%
Utility damage per round,6.27,7.20,5.36
Utility kills per 100 rounds,1.28,1.27,1.29
Win% after opening kill,74.9%,77.7%,71.3%
