metric,Both,CT,T
1on1 win percentage,66.7%,68.2%,63.6%
Assisted kills percentage,18.3%,18.9%,17.7%
Assists per round,0.14,0.16,0.12
Attacks per round,2.91,3.20,2.61
Clutch points per round,0.02,0.02,0.02
Damage per kill,114,116,112
Damage per round,77.4,81.3,73.2
Damage per round win,94.7,97.3,91.9
Flash assists per round,0.04,0.04,0.04
Flashes thrown per round,0.47,0.46,0.52
Kills per round,0.68,0.70,0.65
Kills per round win,0.89,0.91,0.87
Last alive percentage,8.2%,7.7%,8.8%
Opening attempts,19.2%,18.0%,20.5%
Opening deaths per round,0.09,0.08,0.11
Opening deaths traded percentage,24.0%,14.8%,30.5%
Opening kills per round,0.10,0.10,0.09
Opening success,50.8%,58.1%,44.1%
Pistol round rating,1.20,1.05,1.36
Rating 2.0,1.11,1.12,1.11
Rounds with a kill,46.4%,47.4%,45.3%
Rounds with a multi-kill,16.9%,17.8%,16.0%
Rounds with sniper kills percentage,0.5%,0.7%,0.3%
Saved by teammate per round,0.10,0.07,0.13
Saved teammate per round,0.09,0.05,0.12
Saves per round loss,10.5%,17.0%,4.0%
Sniper kills per round,0.01,0.01,0.00
Sniper kills percentage,0.8%,1.3%,0.3%
Sniper multi-kill rounds,0.002,0.003,0.0
Sniper opening kills per round,0.002,0.003,0.0
Support rounds,21.4%,25.9%,16.7%
Time alive per round,1m 10s,1m 11s,1m 9s
Time opponent flashed per round,2.10,2.08,2.12
Trade kills per round,0.13,0.10,0.16
Trade kills percentage,18.7%,14.1%,24.0%
Traded deaths per round,0.13,0.10,0.17
Traded deaths percentage,21.1%,17.1%,24.8%
Utility damage per round,6.91,7.95,5.80
Utility kills per 100 rounds,0.77,0.56,0.99
Win% after opening kill,73.2%,66.3%,81.8%
