metric,Both,CT,T
1on1 win percentage,69.1%,60.6%,81.8%
Assisted kills percentage,17.6%,18.6%,16.4%
Assists per round,0.13,0.14,0.12
Attacks per round,2.91,3.11,2.71
Clutch points per round,0.03,0.02,0.04
Damage per kill,108,107,109
Damage per round,79.9,82.0,77.7
Damage per round win,105.7,107.1,104.3
Flash assists per round,0.02,0.02,0.02
Flashes thrown per round,0.42,0.30,0.55
Kills per round,0.74,0.77,0.71
Kills per round win,1.04,1.07,1.01
Last alive percentage,9.8%,8.9%,10.8%
Opening attempts,21.6%,21.6%,21.6%
Opening deaths per round,0.09,0.08,0.10
Opening deaths traded percentage,22.9%,22.6%,23.2%
Opening kills per round,0.13,0.14,0.12
Opening success,59.2%,64.0%,54.2%
Pistol round rating,1.08,1.09,1.06
Rating 2.0,1.16,1.15,1.17
Rounds with a kill,48.9%,50.1%,47.7%
Rounds with a multi-kill,18.2%,19.1%,17.3%
Rounds with sniper kills percentage,0.5%,0.5%,0.5%
Saved by teammate per round,0.08,0.07,0.10
Saved teammate per round,0.09,0.07,0.10
Saves per round loss,10.2%,16.1%,4.1%
Sniper kills per round,0.01,0.01,0.01
Sniper kills percentage,1.0%,1.0%,0.9%
Sniper multi-kill rounds,0.001,0.001,0.001
Sniper opening kills per round,0.0002,0.0005,0.0
Support rounds,18.7%,21.6%,15.6%
Time alive per round,1m 8s,1m 9s,1m 7s
Time opponent flashed per round,2.43,2.43,2.42
Trade kills per round,0.12,0.10,0.14
Trade kills percentage,16.2%,13.6%,19.1%
Traded deaths per round,0.12,0.11,0.13
Traded deaths percentage,18.3%,17.6%,18.9%
Utility damage per round,3.91,4.96,2.82
Utility kills per 100 rounds,0.63,0.88,0.38
Win% after opening kill,73.9%,74.2%,73.5%
