metric,Both,CT,T
1on1 win percentage,50.0%,41.2%,58.8%
Assisted kills percentage,21.0%,21.9%,19.9%
Assists per round,0.16,0.18,0.13
Attacks per round,3.05,3.38,2.71
Clutch points per round,0.01,0.01,0.01
Damage per kill,111,111,111
Damage per round,81.1,87.1,74.9
Damage per round win,102.6,108.2,96.2
Flash assists per round,0.04,0.05,0.04
Flashes thrown per round,0.61,0.55,0.71
Kills per round,0.73,0.79,0.67
Kills per round win,0.98,1.04,0.91
Last alive percentage,7.8%,6.7%,8.9%
Opening attempts,19.5%,20.0%,19.0%
Opening deaths per round,0.09,0.07,0.10
Opening deaths traded percentage,29.2%,22.1%,34.6%
Opening kills per round,0.11,0.13,0.09
Opening success,56.3%,63.7%,48.2%
Pistol round rating,0.91,0.87,0.95
Rating 2.0,1.15,1.20,1.10
Rounds with a kill,49.5%,52.5%,46.5%
Rounds with a multi-kill,18.4%,20.5%,16.3%
Rounds with sniper kills percentage,1.8%,2.3%,1.2%
Saved by teammate per round,0.10,0.08,0.12
Saved teammate per round,0.13,0.09,0.17
Saves per round loss,8.4%,14.0%,3.1%
Sniper kills per round,0.02,0.03,0.02
Sniper kills percentage,3.1%,3.6%,2.4%
Sniper multi-kill rounds,0.005,0.006,0.003
Sniper opening kills per round,0.002,0.005,0.0
Support rounds,18.0%,21.1%,14.8%
Time alive per round,1m 9s,1m 11s,1m 8s
Time opponent flashed per round,2.51,2.86,2.24
Trade kills per round,0.15,0.12,0.18
Trade kills percentage,20.8%,15.4%,27.3%
Traded deaths per round,0.13,0.10,0.16
Traded deaths percentage,20.0%,17.3%,22.4%
Utility damage per round,6.37,7.64,5.05
Utility kills per 100 rounds,1.12,1.25,0.99
Win% after opening kill,72.9%,71.0%,75.7%
