metric,Both,CT,T
1on1 win percentage,64.8%,54.5%,81.0%
Assisted kills percentage,19.0%,17.8%,20.3%
Assists per round,0.09,0.10,0.09
Attacks per round,1.96,1.88,2.05
Clutch points per round,0.03,0.02,0.04
Damage per kill,101,101,102
Damage per round,71.5,75.4,67.5
Damage per round win,91.4,97.6,84.9
Flash assists per round,0.07,0.04,0.09
Flashes thrown per round,0.77,0.63,0.92
Kills per round,0.71,0.75,0.67
Kills per round win,0.94,1.02,0.87
Last alive percentage,12.8%,11.0%,14.5%
Opening attempts,20.4%,23.1%,17.5%
Opening deaths per round,0.08,0.08,0.09
Opening deaths traded percentage,20.3%,20.5%,20.2%
Opening kills per round,0.12,0.15,0.09
Opening success,58.9%,66.0%,49.4%
Pistol round rating,1.14,1.03,1.24
Rating 2.0,1.13,1.17,1.10
Rounds with a kill,47.9%,50.3%,45.5%
Rounds with a multi-kill,17.3%,18.7%,15.9%
Rounds with sniper kills percentage,26.9%,34.5%,19.1%
Saved by teammate per round,0.08,0.07,0.09
Saved teammate per round,0.10,0.07,0.13
Saves per round loss,13.8%,23.3%,4.1%
Sniper kills per round,0.35,0.46,0.25
Sniper kills percentage,50.1%,61.0%,37.6%
Sniper multi-kill rounds,0.09,0.12,0.06
Sniper opening kills per round,0.08,0.12,0.04
Support rounds,20.6%,22.6%,18.6%
Time alive per round,1m 12s,1m 14s,1m 10s
Time opponent flashed per round,2.47,2.61,2.38
Trade kills per round,0.13,0.11,0.16
Trade kills percentage,19.0%,14.9%,23.7%
Traded deaths per round,0.10,0.09,0.11
Traded deaths percentage,17.7%,17.1%,18.2%
Utility damage per round,2.80,2.93,2.67
Utility kills per 100 rounds,0.65,0.66,0.63
Win% after opening kill,72.3%,71.7%,73.2%
