order,name,url
1,donk,https://www.hltv.org/stats/players/21167/donk?startDate=2024-01-01&endDate=2024-12-31
2,m0NESY,https://www.hltv.org/stats/players/19230/m0nesy?startDate=2024-01-01&endDate=2024-12-31
3,ZywOo,https://www.hltv.org/stats/players/11893/zywoo?startDate=2024-01-01&endDate=2024-12-31
4,NiKo,https://www.hltv.org/stats/players/3741/niko?startDate=2024-01-01&endDate=2024-12-31
5,jL,https://www.hltv.org/stats/players/19206/jl?startDate=2024-01-01&endDate=2024-12-31
6,sh1ro,https://www.hltv.org/stats/players/16920/sh1ro?startDate=2024-01-01&endDate=2024-12-31
7,flameZ,https://www.hltv.org/stats/players/16693/flamez?startDate=2024-01-01&endDate=2024-12-31
8,broky,https://www.hltv.org/stats/players/18053/broky?startDate=2024-01-01&endDate=2024-12-31
9,b1t,https://www.hltv.org/stats/players/18987/b1t?startDate=2024-01-01&endDate=2024-12-31
10,frozen,https://www.hltv.org/stats/players/9960/frozen?startDate=2024-01-01&endDate=2024-12-31
11,w0nderful,https://www.hltv.org/stats/players/20127/w0nderful?startDate=2024-01-01&endDate=2024-12-31
12,malbsMd,https://www.hltv.org/stats/players/11617/malbsmd?startDate=2024-01-01&endDate=2024-12-31
13,Spinx,https://www.hltv.org/stats/players/18221/spinx?startDate=2024-01-01&endDate=2024-12-31
14,xertioN,https://www.hltv.org/stats/players/20312/xertion?startDate=2024-01-01&endDate=2024-12-31
15,XANTARES,https://www.hltv.org/stats/players/7938/xantares?startDate=2024-01-01&endDate=2024-12-31
16,iM,https://www.hltv.org/stats/players/14759/im?startDate=2024-01-01&endDate=2024-12-31
17,Jimpphat,https://www.hltv.org/stats/players/18850/jimpphat?startDate=2024-01-01&endDate=2024-12-31
18,ropz,https://www.hltv.org/stats/players/11816/ropz?startDate=2024-01-01&endDate=2024-12-31
19,EliGE,https://www.hltv.org/stats/players/8738/elige?startDate=2024-01-01&endDate=2024-12-31
20,torzsi,https://www.hltv.org/stats/players/18072/torzsi?startDate=2024-01-01&endDate=2024-12-31
