metric,Both,CT,T
1on1 win percentage,50.0%,50.0%,50.0%
Assisted kills percentage,23.7%,24.3%,22.9%
Assists per round,0.21,0.22,0.20
Attacks per round,3.06,3.27,2.83
Clutch points per round,0.01,0.006,0.02
Damage per kill,105,105,106
Damage per round,96.8,100.5,92.8
Damage per round win,124.6,128.2,120.6
Flash assists per round,0.01,0.02,0.01
Flashes thrown per round,0.45,0.46,0.46
Kills per round,0.92,0.96,0.87
Kills per round win,1.23,1.29,1.18
Last alive percentage,6.3%,5.6%,7.0%
Opening attempts,28.6%,26.0%,31.3%
Opening deaths per round,0.12,0.10,0.15
Opening deaths traded percentage,25.7%,22.2%,28.3%
Opening kills per round,0.16,0.16,0.17
Opening success,56.6%,60.5%,53.0%
Pistol round rating,1.42,1.39,1.45
Rating 3.0,1.36,1.34,1.38
Rounds with a kill,55.2%,57.3%,53.1%
Rounds with a multi-kill,25.4%,26.7%,24.0%
Rounds with sniper kills percentage,1.1%,1.4%,0.8%
Saved by teammate per round,0.12,0.09,0.14
Saved teammate per round,0.17,0.13,0.21
Saves per round loss,7.5%,11.4%,3.6%
Sniper kills per round,0.01,0.02,0.01
Sniper kills percentage,1.4%,1.6%,1.2%
Sniper multi-kill rounds,0.004,0.005,0.004
Sniper opening kills per round,0.003,0.003,0.002
Support rounds,16.3%,17.5%,14.9%
Time alive per round,1m 7s,1m 6s,1m 7s
Time opponent flashed per round,1.83,2.23,1.44
Trade kills per round,0.18,0.17,0.20
Trade kills percentage,20.0%,17.2%,23.4%
Traded deaths per round,0.15,0.13,0.16
Traded deaths percentage,21.5%,20.3%,22.7%
Utility damage per round,3.64,4.22,3.01
Utility kills per 100 rounds,0.49,0.52,0.44
Win% after opening kill,74.9%,75.2%,74.5%
