metric,Both,CT,T
1on1 win percentage,61.1%,61.5%,60.0%
Assisted kills percentage,29.1%,30.5%,27.5%
Assists per round,0.20,0.20,0.19
Attacks per round,2.84,3.08,2.60
Clutch points per round,0.03,0.03,0.04
Damage per kill,108,107,109
Damage per round,76.5,78.9,74.1
Damage per round win,95.2,98.0,92.1
Flash assists per round,0.03,0.03,0.03
Flashes thrown per round,0.40,0.39,0.42
Kills per round,0.71,0.74,0.68
Kills per round win,0.94,0.98,0.90
Last alive percentage,11.8%,12.5%,11.1%
Opening attempts,13.6%,13.6%,13.7%
Opening deaths per round,0.06,0.05,0.08
Opening deaths traded percentage,29.0%,26.4%,31.0%
Opening kills per round,0.07,0.08,0.06
Opening success,52.7%,60.8%,44.5%
Pistol round rating,1.17,1.06,1.29
Rating 3.0,1.17,1.20,1.14
Rounds with a kill,47.4%,49.2%,45.6%
Rounds with a multi-kill,18.0%,18.9%,17.2%
Rounds with sniper kills percentage,0.3%,0.5%,0.1%
Saved by teammate per round,0.09,0.08,0.11
Saved teammate per round,0.12,0.10,0.15
Saves per round loss,10.7%,18.4%,3.6%
Sniper kills per round,0.00,0.00,0.00
Sniper kills percentage,0.4%,0.6%,0.2%
Sniper multi-kill rounds,0.0003,0.0006,0.0
Sniper opening kills per round,0.0,0.0,0.0
Support rounds,24.9%,27.5%,22.3%
Time alive per round,1m 11s,1m 12s,1m 10s
Time opponent flashed per round,2.10,2.13,2.07
Trade kills per round,0.16,0.14,0.18
Trade kills percentage,22.2%,18.5%,26.3%
Traded deaths per round,0.12,0.10,0.14
Traded deaths percentage,20.5%,19.0%,21.8%
Utility damage per round,3.93,4.76,3.07
Utility kills per 100 rounds,0.59,0.64,0.54
Win% after opening kill,75.2%,72.3%,79.2%
